#SampleID,region,site,year,host_species,host_type,survey_type,dna_extraction_plate,dna_extraction_well,growth,meso_quadrat_id,meso_shoot_id,meso_shoot_length,meso_shoot_width,meso_number_of_blades,meso_total_dry_wt,meso_blade_dry_wt,meso_microepiphyte_wt,meso_macroepiphyte_wt,meso_smithora_wt,meso_bryozoans,meso_quadrat_density,meso_quadrat_biomass,broken,smithora,ocean_id,mean_depth,ctd_depth,conductivity,temperature,Pressure,par,fluorometry_chlorophyll,turbidity,dissolved_oxygen,salinity,speed_of_sound,dissolved_oxygen_concentration,time_point,treatment,transplant_platform_destination_moved_to,blade_id,grazer_group,sterilized,band_quality,amount_dna,idotea_group,snail_type,shrimp_colour,collection_depth,Description
ZosCSPoldM,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea1,G10,old ,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSSoldA,choked,choked_sandspit,2015,zostera,zostera,meso_quadrats ,sea1,H6,old,1,a,129.2,0.8,4,1.3,0.3,18.2,na,0.5,na,,,na,yes,sea_2,4,4.68,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,1486.79,7.96,na,na,na,na,na,na,na,na,na,na,na,2.6,zostera_choked_ss
ZosCSSoldB,choked,choked_sandspit,2015,zostera,zostera,meso_quadrats ,sea1,H9,old,6,b,123,0.8,5,1.3,0.3,16.5,na,na,na,,,na,unknown,sea_2,4,6.47,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,1486.79,7.96,na,na,na,na,na,na,na,na,na,na,na,2.6,zostera_choked_ss
ZosCSSoldC,choked,choked_sandspit,2015,zostera,zostera,meso_quadrats ,sea1,H1,old,2,c,131.3,0.6,6,2.6,0.4,26.2,na,na,na,,,na,unknown,sea_2,4,6.47,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,1486.79,7.96,na,na,na,na,na,na,na,na,na,na,na,2.6,zostera_choked_ss
ZosCSSoldD,choked,choked_sandspit,2015,zostera,zostera,meso_quadrats ,sea1,H3,old,4,d,115.6,0.6,5,2.1,0.4,15.8,na,na,na,,,na,unknown,sea_2,4,6.47,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,1486.79,7.96,na,na,na,na,na,na,na,na,na,na,na,2.6,zostera_choked_ss
ZosCSSoldE,choked,choked_sandspit,2015,zostera,zostera,meso_quadrats ,sea1,H7,old,5,e,129.5,1.1,7,2.8,0.4,20.7,na,na,na,,,na,unknown,sea_2,4,6.47,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,1486.79,7.96,na,na,na,na,na,na,na,na,na,na,na,2.6,zostera_choked_ss
ZosCSSOldF,choked,choked_sandspit,2015,zostera,zostera,meso_quadrats ,sea1,H11,na,3,f,111.5,1.1,5,1.4,0.3,13.8,na,na,na,,,na,unknown,sea_2,4,6.47,34.84,10.29,14.85,246,1.84,0.6,86.81,31.43,1486.79,7.96,na,na,na,na,na,na,na,na,na,na,na,2.6,zostera_choked_ss
ZosGSEOldA,goose,goose_southeast,2015,zostera,zostera,meso_quadrats ,sea1,A8,old ,4,chirp,105.5,0.4,6,1.8,0.3,18.8,na,na,na,,,no,unknown,sea_6,6,2.8,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,1502.17,10.34,na,na,na,na,na,na,na,na,na,na,na,5,zostera_goose_se
ZosGSEoldB,goose,goose_southeast,2015,zostera,zostera,meso_quadrats ,sea1,E10,old,6,quack ,126.8,0.4,5,2,0.4,3.6,na,na,na,,,yes,unknown,sea_6,6,2.8,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,1502.17,10.34,na,na,na,na,na,na,na,na,na,na,na,5,zostera_goose_se
ZosGSEoldC,goose,goose_southeast,2015,zostera,zostera,meso_quadrats ,sea1,B4,old,5,woof,106.8,0.3,6,1.2,0.2,15.8,na,na,na,,,yes,unknown,sea_6,6,2.8,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,1502.17,10.34,na,na,na,na,na,na,na,na,na,na,na,5,zostera_goose_se
ZosGSEoldD,goose,goose_southeast,2015,zostera,zostera,meso_quadrats ,sea1,B1,old,3,hiss,108.6,0.4,5,1.8,0.4,13.1,na,na,na,,,no,unknown,sea_6,6,2.8,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,1502.17,10.34,na,na,na,na,na,na,na,na,na,na,na,5,zostera_goose_se
ZosGSEoldE,goose,goose_southeast,2015,zostera,zostera,meso_quadrats ,sea1,C2,old,1,moo,128.2,0.4,6,2.7,0.5,23.2,na,na,na,,,no,unknown,sea_6,6,2.8,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,1502.17,10.34,na,na,na,na,na,na,na,na,na,na,na,5,zostera_goose_se
ZosGSEoldF,goose,goose_southeast,2015,zostera,zostera,meso_quadrats ,sea1,D5,old,2,meow,136.3,0.4,7,2.4,0.3,12.1,na,na,na,,,no,unknown,sea_6,6,2.8,38.84,14.81,12.95,319.94,0.43,0.94,124.2,31.46,1502.17,10.34,na,na,na,na,na,na,na,na,na,na,na,5,zostera_goose_se
ZosGSWoldA,goose,goose_southwest,2015,zostera,zostera,meso_quadrats ,sea1,C6,old,1,a,126,0.4,5,1.6,0.3,30.5,na,na,na,,,yes,unknown,sea_7,6,5.87,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,1498.67,9.5,na,na,na,na,na,na,na,na,na,na,na,6,zostera_goose_sw
ZosGSWoldB,goose,goose_southwest,2015,zostera,zostera,meso_quadrats ,sea1,F10,old ,3,c,105.3,0.4,5,1.2,0.2,17.1,na,na,na,,,no,unknown,sea_7,6,5.87,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,1498.67,9.5,na,na,na,na,na,na,na,na,na,na,na,6,zostera_goose_sw
ZosGSWoldC,goose,goose_southwest,2015,zostera,zostera,meso_quadrats ,sea1,B8,old,4,b,133.9,0.4,7,2.6,0.4,28.8,na,na,na,,,yes,unknown,sea_7,6,5.87,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,1498.67,9.5,na,na,na,na,na,na,na,na,na,na,na,6,zostera_goose_sw
ZosGSWoldD,goose,goose_southwest,2015,zostera,zostera,meso_quadrats ,sea1,F5,old,2,e,198.5,0.4,4,1.7,0.4,21.5,na,na,na,,,no,unknown,sea_7,6,5.87,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,1498.67,9.5,na,na,na,na,na,na,na,na,na,na,na,6,zostera_goose_sw
ZosGSWoldE,goose,goose_southwest,2015,zostera,zostera,meso_quadrats ,sea1,F9,old,6,d,102.9,0.4,5,2,0.4,21.4,na,na,na,,,no,unknown,sea_7,6,5.87,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,1498.67,9.5,na,na,na,na,na,na,na,na,na,na,na,6,zostera_goose_sw
ZosGSWoldF,goose,goose_southwest,2015,zostera,zostera,meso_quadrats ,sea1,D8,old,5,f,123.4,0.4,6,1.9,0.3,20.7,na,na,na,,,yes,unknown,sea_7,6,5.87,37.64,13.83,16.05,254.67,1.26,1.26,111.52,31.17,1498.67,9.5,na,na,na,na,na,na,na,na,na,na,na,6,zostera_goose_sw
ZosMcNoldA,mcmullins,mcmullin_north,2015,zostera,zostera,meso_quadrats ,sea1,D9,old ,1,a,88,0.4,6,1,0.2,41.3,na,na,yes,,,no,unknown,sea_8,7,4.08,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,1503.34,10.91,na,na,na,na,na,na,na,na,na,na,na,4.8,zostera_mcmullin_n
ZosMcNoldB,mcmullins,mcmullin_north,2015,zostera,zostera,meso_quadrats ,sea1,B7,old ,2,c,41.9,0.4,6,0.7,0.1,39.6,na,na,na,,,na,unknown,sea_8,7,4.08,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,1503.34,10.91,na,na,na,na,na,na,na,na,na,na,na,4.8,zostera_mcmullin_n
ZosMcNoldC,mcmullins,mcmullin_north,2015,zostera,zostera,meso_quadrats ,sea1,F4,old,3,f,98.7,0.4,6,1.9,0.3,43.6,na,na,yes,,,na,unknown,sea_8,7,4.08,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,1503.34,10.91,na,na,na,na,na,na,na,na,na,na,na,4.8,zostera_mcmullin_n
ZosMcNoldD,mcmullins,mcmullin_north,2015,zostera,zostera,meso_quadrats ,sea1,B2,old,4,e,106,0.4,6,1.6,0.3,52.7,na,na,yes,,,yes,unknown,sea_8,7,4.08,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,1503.34,10.91,na,na,na,na,na,na,na,na,na,na,na,4.8,zostera_mcmullin_n
ZosMcNoldE,mcmullins,mcmullin_north,2015,zostera,zostera,meso_quadrats ,sea1,E12,old,5,d,61.5,0.5,4,1,0.2,35.5,na,na,yes,,,yes,unknown,sea_8,7,4.08,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,1503.34,10.91,na,na,na,na,na,na,na,na,na,na,na,4.8,zostera_mcmullin_n
ZosMcNoldF,mcmullins,mcmullin_north,2015,zostera,zostera,meso_quadrats ,sea1,D10,old ,6,b,64.1,0.4,7,0.8,0.1,43.6,na,na,na,,,na,unknown,sea_8,7,4.08,39,15.25,14.45,259.93,0.92,1.47,132.04,31.25,1503.34,10.91,na,na,na,na,na,na,na,na,na,na,na,4.8,zostera_mcmullin_n
ZosMcSoldA,mcmullins,mcmullin_south,2015,zostera,zostera,meso_quadrats ,sea1,D6,old ,1,b,63.8,0.6,6,1.3,0.2,17.1,na,na,na,,,na,unknown,sea_9,4,4.28,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,1505.46,11.24,na,na,na,na,na,na,na,na,na,na,na,4.6,zostera_mcmullin_s
ZosMcSoldB,mcmullins,mcmullin_south,2015,zostera,zostera,meso_quadrats ,sea1,F1,old,2,d,105.5,0.3,5,1.1,0.2,35.4,na,na,na,,,na,unknown,sea_9,4,4.28,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,1505.46,11.24,na,na,na,na,na,na,na,na,na,na,na,4.6,zostera_mcmullin_s
ZosMcSoldC,mcmullins,mcmullin_south,2015,zostera,zostera,meso_quadrats ,sea1,F7,old,3,a,54.5,0.4,5,1.2,0.2,36,na,na,yes,,,na,unknown,sea_9,4,4.28,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,1505.46,11.24,na,na,na,na,na,na,na,na,na,na,na,4.6,zostera_mcmullin_s
ZosMcSoldD,mcmullins,mcmullin_south,2015,zostera,zostera,meso_quadrats ,sea1,E2,old,4,f,109,1,5,2.2,0.4,35.7,na,na,na,,,na,unknown,sea_9,4,4.28,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,1505.46,11.24,na,na,na,na,na,na,na,na,na,na,na,4.6,zostera_mcmullin_s
ZosMcSoldE,mcmullins,mcmullin_south,2015,zostera,zostera,meso_quadrats ,sea1,B12,old,5,e,69.1,0.4,7,2.2,0.3,37.1,na,na,na,,,na,unknown,sea_9,4,4.28,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,1505.46,11.24,na,na,na,na,na,na,na,na,na,na,na,4.6,zostera_mcmullin_s
ZosMcSoldF,mcmullins,mcmullin_south,2015,zostera,zostera,meso_quadrats ,sea1,C1,old,6,c,123,1,6,1.2,0.2,44.7,na,na,na,,,na,unknown,sea_9,4,4.28,39.6,15.93,14.25,540.83,0.48,1.27,137.81,31.24,1505.46,11.24,na,na,na,na,na,na,na,na,na,na,na,4.6,zostera_mcmullin_s
ZosTQNoldA,triquet,triquet_north,2015,zostera,zostera,meso_quadrats ,sea1,B6,old,6,a,96,0.4,4,1.4,0.4,12,na,na,na,,,yes,unknown,sea_11,5,4.61,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,1498.76,11.13,na,na,na,na,na,na,na,na,na,na,na,8,zostera_triquet_n
ZosTQNoldB,triquet,triquet_north,2015,zostera,zostera,meso_quadrats ,sea1,A6,old,5,d,124,0.4,5,1.8,0.4,38.8,na,na,na,,,no,unknown,sea_11,5,4.61,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,1498.76,11.13,na,na,na,na,na,na,na,na,na,na,na,8,zostera_triquet_n
ZosTQNoldC,triquet,triquet_north,2015,zostera,zostera,meso_quadrats ,sea1,C3,old,4,c,84.3,0.3,5,0.5,0.1,30.1,na,na,na,,,yes,unknown,sea_11,5,4.61,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,1498.76,11.13,na,na,na,na,na,na,na,na,na,na,na,8,zostera_triquet_n
ZosTQNoldD,triquet,triquet_north,2015,zostera,zostera,meso_quadrats ,sea1,A3,old,2,b,123.6,0.4,6,1.8,0.3,27.6,na,na,na,,,na,unknown,sea_11,5,4.61,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,1498.76,11.13,na,na,na,na,na,na,na,na,na,na,na,8,zostera_triquet_n
ZosTQNoldE,triquet,triquet_north,2015,zostera,zostera,meso_quadrats ,sea1,C5,old,3,f,89.6,0.3,5,0.8,0.2,7.4,na,na,na,,,yes,unknown,sea_11,5,4.61,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,1498.76,11.13,na,na,na,na,na,na,na,na,na,na,na,8,zostera_triquet_n
ZosTQNoldF,triquet,triquet_north,2015,zostera,zostera,meso_quadrats ,sea1,E9,old,1,e,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_11,5,4.61,37.52,13.93,14.78,170.32,1.53,0.79,130.89,30.96,1498.76,11.13,na,na,na,na,na,na,na,na,na,na,na,8,zostera_triquet_n
ZosTQSoldA,triquet,triquet_south,2015,zostera,zostera,meso_quadrats ,sea1,F8,old,6,e,121.3,0.6,5,1.5,0.3,17.4,na,na,na,,,no,unknown,sea_10,5,2.17,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,1501.09,11.18,na,na,na,na,na,na,na,na,na,na,na,5,zostera_triquet_s
ZosTQSoldB,triquet,triquet_south,2015,zostera,zostera,meso_quadrats ,sea1,D4,old,5,c,97.8,0.5,5,1,0.2,29.6,na,na,na,,,no,unknown,sea_10,5,2.17,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,1501.09,11.18,na,na,na,na,na,na,na,na,na,na,na,5,zostera_triquet_s
ZosTQSoldC,triquet,triquet_south,2015,zostera,zostera,meso_quadrats ,sea1,A11,old,4,a,141.5,0.5,5,1.1,0.2,29,na,na,na,,,no,unknown,sea_10,5,2.17,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,1501.09,11.18,na,na,na,na,na,na,na,na,na,na,na,5,zostera_triquet_s
ZosTQSoldD,triquet,triquet_south,2015,zostera,zostera,meso_quadrats ,sea1,F6,old,3,d,108.6,0.5,5,1.4,0.3,27.9,na,na,na,,,no,unknown,sea_10,5,2.17,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,1501.09,11.18,na,na,na,na,na,na,na,na,na,na,na,5,zostera_triquet_s
ZosTQSoldE,triquet,triquet_south,2015,zostera,zostera,meso_quadrats ,sea1,C4,old,1,b,78.9,0.4,5,0.9,0.2,29.6,na,na,na,,,no,unknown,sea_10,5,2.17,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,1501.09,11.18,na,na,na,na,na,na,na,na,na,na,na,5,zostera_triquet_s
ZosTQSoldF,triquet,triquet_south,2015,zostera,zostera,meso_quadrats ,sea1,G1,old,2,f,104.6,0.8,6,1.6,0.3,21.2,na,na,na,,,no,unknown,sea_10,5,2.17,38.11,14.68,12.32,88.1,0.98,0.83,133.58,30.91,1501.09,11.18,na,na,na,na,na,na,na,na,na,na,na,5,zostera_triquet_s
ZosCFIoldA16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,A1,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldB16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,B1,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldC16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,C1,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldD16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,D1,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldE16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,E1,old,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldF16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,F1,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldG16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,G1,old,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCFIoldH16,choked,choked_flat_island,2016,zostera_marina,zostera,meso_quadrats,sea3,H1,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_flat_island_zostera_marina
ZosCSSoldA16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,A2,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldB16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,B2,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldC16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,C2,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldD16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,D2,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldE16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,E2,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldF16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,F2,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldG16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,G2,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosCSSoldH16,choked,choked_sandspit,2016,zostera_marina,zostera,meso_quadrats,sea3,H2,old,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,choked_sandspit_zostera_marina
ZosGSEoldA16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,A3,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldB16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,B3,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldC16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,A9,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldD16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,D3,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldE16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,E3,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldF16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,F3,old,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldG16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,G3,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSEoldH16,goose,goose_southeast,2016,zostera_marina,zostera,meso_quadrats,sea3,H3,old,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southeast_zostera_marina
ZosGSWoldA16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,A4,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosGSWoldB16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,B4,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosGSWoldC16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,C4,old,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
