SampleID,ZosCFIoldB16,ZosCFIoldG16,ZosCSSoldC16,ZosCSSoldF16,ZosCSSoldE16,ZosCSSoldA16,ZosCSSoldH16,ZosCSSoldG16,ZosGSEoldD16,ZosGSEoldF16,ZosGSEoldG16,ZosGSEoldE16,ZosGSEoldC16,ZosGSEoldA16,ZosGSEoldB16,ZosGSEoldH16,ZosGSWoldF16,ZosGSWoldD16,ZosGSWoldA16,ZosGSWoldB16,ZosGSWoldG16,ZosGSWoldC16,ZosGSWoldE16,ZosGSWoldH16,ZosPBSoldA16,ZosPBSoldB16,ZosPBSoldC16,ZosPBSoldD16,ZosPBSoldG16,ZosPBSoldF16,ZosPBSoldH16,ZosPBSoldE16,ZosPBPoldB16,ZosPBPoldE16,ZosPBPoldC16,ZosPBPoldD16,ZosTQNoldG16,ZosTQNoldH16,ZosTQNoldF16,ZosTQNoldD16,ZosTQNoldB16,ZosTQNoldE16,ZosTQNoldC16,ZosTQNoldA16,ZosTQSoldG16,ZosTQSoldA16,ZosTQSoldH16,ZosTQSoldB16,ZosTQSoldE16,ZosTQSoldF16,ZosTQSoldC16,ZosTQSoldD16
ZosGSWoldD16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldA16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldB16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldG16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldC16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldE16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosGSWoldH16,38455,38455,39003,39003,39003,39003,39003,39003,887,887,887,887,887,887,887,887,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldA16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldB16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldC16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldD16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldG16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldF16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldH16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldE16,9780,9780,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldB16,9896,9896,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldE16,9896,9896,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldC16,9896,9896,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldD16,9896,9896,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldG16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldH16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldF16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldD16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldE16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldC16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldA16,19207,19207,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQSoldG16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,NA,NA,NA,NA,NA,NA,NA
ZosTQSoldA16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,NA,NA,NA,NA,NA,NA
ZosTQSoldH16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,NA,NA,NA,NA,NA
ZosTQSoldB16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,NA,NA,NA,NA
ZosTQSoldE16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,NA,NA,NA
ZosTQSoldF16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,0,NA,NA
ZosTQSoldC16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,0,0,NA
ZosTQSoldD16,18181,18181,18661,18661,18661,18661,18661,18661,22078,22078,22078,22078,22078,22078,22078,22078,21671,21671,21671,21671,21671,21671,21671,21671,24133,24133,24133,24133,24133,24133,24133,24133,24271,24271,24271,24271,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,0,0,0
