"","region","site","Aglaja.ocelligera","Alia","Alvania.compacta","Ampharetidae","Amphipoda","Ampithoe.lacertosa","Ampithoe.valida","Aoroides.intermedius","Arabella","Balanmorpha","Bivalvia.1","Bivalvia.2","Caprella.californica","Caprella.laeviuscula","Cardiidae","Caridea","Cheilostomatida","Cirripedia.Nauplii","Decapoda","Dorvilleidae","Egg.Bag","Egg.Balloon","Egg.Capsule","Egg.Donut","Egg.Dots","Egg.Goblet","Egg.Mass","Eulalia","Exogone","Foraminifera.1","Foraminifera.2","Foraminifera.3","Foraminifera.4","Halacaridae","Harmothoe.imbricata","Harpacticoida","Ischyrocerus.anguipes","Ischyrocerus.pelagops","Lacuna","Lasaeidae","Leptochelia","Lirularia.lirulata","Lumbrineridae","Metacarcinus.magister","Monocorophium","Monocorophium.insidiosum","Munnidae","Mytilus","Naticidae","Nematoda","Nemertea.1","Nemertea.2","Ophelia","Ostracoda.1","Ostracoda.2","Ostracoda.3","Ostracoda.4","Pagurus.quaylei","Paraonides","Pentidotea.montereyensis","Pentidotea.resecata","Photis.brevipes","Platynereis.bicanaliculata","Podon","Polynoidae","Pontogeneia.rostrata","Porcellidium","Pugettia.richii","Schistomeringos.longicornis","Serpulidae.1","Serpulidae.2","Thorlaksonius.subcarinatus","Unknown","V1","Actiniidae","Alia.carinata","Amphissa","Amphiuridae","Ampithoe.sectimanus","Ampithoidae","Aoridae","Aoroides","Aoroides.intermedia","Ascidiacea","Axiothella","Bivalvia","Caprella","Caprella.mutica","Cerithiidae","Chrysopetalidae","Corophiidae","Cumacea","eggs","Eusiroidea","Fluff","Foraminifera","Gammaridea","Gammaropsis","Gammaropsis.thomsoni","Gastropoda","Gymnolaemata","Haliclystidae","Hemipodia","Hesionidae","Heterophoxus","Hyalidae","Pentidotea","Isaeidae","Ischyroceridae","Ischyrocerus","larvae","Lirularia","Littorinimorpha","Lottidae","microfiber","Micronereis","Monocorophium.acherusicum","Mytilidae","Neogastropoda","Nereididae","Nudibranchia","Ostracoda","Pagurus","Photis","Phyllodoce","Phyllodocida","Phyllodocidae","Platynereis","Pleocyemata","Podarkeopsis.glabrus","Polychaeta","Pontogeneia","Pontogeneia.inermis","Protohyale","Rissoidae","Sessilia","Stalked.thing","Stenothoidae","Sthenelais","Syllidae","Terebellidae","Thorlaksonius","Urothoidae","Veneroida"
"11","hakai","choked_sand_spit2",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,37,0,NA,16,NA,7,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,118,0,NA,NA,NA,0,NA,0,2,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,72,0,0,0,0,0,0,0,0,1,2,12,0,0,0,1,0,0,0,0,0,19,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","hakai","choked_sand_spit5",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,135,0,NA,25,NA,202,NA,8,NA,NA,NA,6,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,321,0,NA,NA,NA,0,NA,0,2,0,0,0,0,12,82,0,0,0,0,0,5,0,2,0,7,0,2,12,0,1,694,0,0,0,0,0,0,0,0,0,1,86,0,0,0,0,0,0,0,0,0,17,0,10,0,25,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13","hakai","choked_sand_spit6",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,111,46,NA,11,NA,14,NA,0,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,155,0,NA,NA,NA,0,NA,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,213,0,0,2,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,8,0,1,2,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
"14","hakai","choked_sand_spit8",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,63,0,NA,26,NA,4,NA,1,NA,NA,NA,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,111,1,NA,NA,NA,0,NA,1,0,0,0,0,0,17,20,0,0,0,0,0,6,0,0,0,11,0,0,9,0,0,278,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,18,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","hakai","choked_sand_spit9",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,33,36,NA,17,NA,42,NA,5,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,75,0,NA,NA,NA,0,NA,0,8,0,1,0,1,3,5,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1,185,0,0,0,0,0,2,0,0,1,0,12,8,35,0,1,0,0,0,0,0,0,0,2,0,4,0,38,0,0,0,8,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0
"16","hakai","choked_wolf2",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,NA,72,53,NA,111,NA,0,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,35,0,NA,NA,NA,0,NA,0,0,0,4,0,0,15,5,0,7,0,0,0,3,1,0,0,0,0,2,0,0,2,202,0,0,0,1,0,0,0,0,2,6,2,205,0,2,0,0,0,1,2,0,2,0,4,0,1,0,5,1,0,0,6,0,0,0,0,32,0,0,5,0,0,0,0,0,4,0,3
"17","hakai","choked_wolf3",NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,214,30,NA,102,NA,0,NA,1,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,97,0,NA,NA,NA,0,NA,0,0,0,0,0,0,5,0,0,2,0,1,0,41,0,0,0,0,0,0,1,1,0,90,0,0,0,0,0,0,0,0,0,8,0,38,13,0,0,0,0,0,5,0,6,0,0,0,3,0,2,0,0,0,3,1,0,1,0,12,0,0,2,0,0,0,0,0,1,0,1
"18","hakai","choked_wolf5",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,45,27,NA,54,NA,0,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,33,0,NA,NA,NA,0,NA,0,0,0,0,0,0,5,1,0,9,0,0,0,28,5,0,0,0,0,3,2,0,0,64,0,0,0,0,0,0,0,0,1,11,2,36,0,0,8,0,0,0,2,0,3,0,0,0,1,0,6,0,0,0,3,0,1,0,0,8,1,0,1,0,0,0,0,0,1,0,5
"19","hakai","choked_wolf7",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,7,10,NA,69,NA,0,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,11,0,NA,NA,NA,0,NA,0,0,0,4,0,0,1,71,0,33,0,0,1,5,1,0,0,0,0,3,0,0,0,219,1,0,0,1,1,0,0,0,0,26,18,285,0,0,0,0,0,2,2,0,0,0,2,0,1,0,10,0,1,0,6,0,0,0,0,32,0,0,2,0,0,0,0,0,4,0,1
"20","hakai","choked_wolf8",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,36,24,NA,27,NA,0,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,41,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,9,0,4,0,0,0,14,0,0,0,0,0,4,0,0,0,146,0,0,0,0,0,0,0,0,1,14,0,98,0,0,1,0,0,3,1,0,4,0,0,1,0,0,4,0,0,0,4,0,0,0,0,6,0,0,1,0,0,0,0,3,2,0,0
"21","hakai","choked_wolf9",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,11,0,NA,15,NA,0,NA,4,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25,1,NA,NA,NA,0,NA,0,1,0,2,1,0,49,9,0,3,0,0,0,27,0,0,0,0,0,7,0,0,3,159,2,0,0,0,1,0,0,0,1,24,60,11,0,0,1,0,0,0,1,0,4,0,0,0,6,0,6,0,0,1,5,0,0,0,0,15,0,0,16,0,2,0,1,1,1,0,0
"22","hakai","pruth_pocket2",NA,NA,88,NA,NA,2,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,4,NA,12,0,NA,29,NA,0,NA,0,NA,NA,NA,6,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,0,0,1,0,0,0,2,18,6,0,0,0,3,28,0,0,0,0,1,14,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,14,0,0,0,1,0,0,2,0,0,0,0,1,8,0,3,4,0,0,1,46
"23","hakai","pruth_pocket3",NA,NA,33,NA,NA,2,NA,NA,NA,NA,NA,NA,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,31,0,NA,8,NA,0,NA,0,NA,NA,NA,3,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,8,3,NA,NA,NA,0,NA,0,0,0,0,0,0,5,4,3,0,0,0,0,37,0,0,1,0,1,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,10,1,1,0,0,0,5,0,0,2,0,1,0,0,0,0,0,4,1,0,0,0,19
"24","hakai","pruth_pocket4",NA,NA,216,NA,NA,12,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,3,NA,38,1,NA,30,NA,0,NA,0,NA,NA,NA,3,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,0,0,0,0,0,0,7,14,7,0,0,0,5,15,0,0,0,1,2,6,1,0,0,25,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,2,0,22,0,2,0,0,0,1,1,0,2,0,9,0,1,0,1,0,2,0,1,0,0,22
"25","hakai","triquet_bay2",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,0,NA,59,5,NA,8,NA,184,NA,1,NA,NA,NA,0,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,76,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,7,2,0,0,4,0,7,0,0,0,1,0,4,0,0,1,48,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,2,1,0,7,0,8,0,22,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"26","hakai","triquet_bay3",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,0,NA,24,0,NA,4,NA,95,NA,0,NA,NA,NA,0,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,26,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,20,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"27","hakai","triquet_bay4",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,23,2,NA,4,NA,60,NA,0,NA,NA,NA,0,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,80,2,NA,NA,NA,0,NA,0,0,0,2,0,0,0,0,8,0,2,1,0,6,0,1,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,16,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"28","hakai","triquet_bay5",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,0,NA,25,0,NA,6,NA,82,NA,3,NA,NA,NA,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,136,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,0,0,0,2,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,13,0,13,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","hakai","triquet_bay8",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,0,NA,42,4,NA,7,NA,151,NA,2,NA,NA,NA,1,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,77,1,NA,NA,NA,0,NA,0,0,0,1,0,0,5,2,16,0,0,5,0,7,0,0,0,0,0,2,0,0,0,38,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
"30","hakai","triquet_bay9",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,37,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,2,NA,40,5,NA,6,NA,79,NA,3,NA,NA,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,118,0,NA,NA,NA,0,NA,0,1,0,1,0,0,0,1,1,0,1,1,0,30,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,9,0,8,0,8,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"31","hakai","triquet_north1",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,30,0,NA,7,NA,25,NA,3,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,39,0,NA,NA,NA,0,NA,0,0,0,4,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,2,0,0,37,24,0,0,0,0,0,0,2,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
"32","hakai","triquet_north2",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,0,NA,13,0,NA,7,NA,29,NA,7,NA,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,41,0,NA,NA,NA,0,NA,0,1,0,9,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,1,0,0,183,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,3,0,1,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
