region,site,lat,long,depth..m..chart.datum.,bed_area_m2,date,year,depth,salinity,temperature,ph,X,quadrat_id,quadrat_shoot_density,quadrat_macroalgae_g,quadrat_lai,quadrat_biomass_g,quadrat_microepiphyte_mg,quadrat_detritus_g,quadrat,quadrat_year
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2015-07-01,2015,5,30.91,14.68,NA,46,4,7,2.4,5.47344,9.65,195.3,NA,triquet_south_4,triquet_south_4_2015
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2015-07-01,2015,5,30.91,14.68,NA,47,5,6,1.39,6.40464,3.73,104.4,NA,triquet_south_5,triquet_south_5_2015
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2015-07-01,2015,5,30.91,14.68,NA,48,6,8,3.73,12.04992,10.72,169.6,NA,triquet_south_6,triquet_south_6_2015
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2015-07-12,2015,7,30.89827945,11.09830209,NA,37,1,6,3.05,NA,1.84,NA,NA,pruth_pocket_1,pruth_pocket_1_2015
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2015-07-12,2015,7,30.89827945,11.09830209,NA,38,2,11,6.15,NA,6.39,NA,NA,pruth_pocket_2,pruth_pocket_2_2015
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2015-07-12,2015,7,30.89827945,11.09830209,NA,39,3,11,1.33,NA,7.63,NA,NA,pruth_pocket_3,pruth_pocket_3_2015
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2015-07-12,2015,7,30.89827945,11.09830209,NA,40,4,16,0.46,NA,4.23,NA,NA,pruth_pocket_4,pruth_pocket_4_2015
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2015-07-12,2015,7,30.89827945,11.09830209,NA,41,5,9,6.05,NA,3.36,NA,NA,pruth_pocket_5,pruth_pocket_5_2015
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2015-07-12,2015,7,30.89827945,11.09830209,NA,42,6,11,5.86,NA,4.44,NA,NA,pruth_pocket_6,pruth_pocket_6_2015
pruth,pruth_bay,51.388,-128.071,-0.55,34982,NA,2015,NA,NA,NA,NA,31,1,11,1.331,NA,1.89,NA,NA,pruth_bay_1,pruth_bay_1_2015
pruth,pruth_bay,51.388,-128.071,-0.55,34982,NA,2015,NA,NA,NA,NA,32,2,18,4.83,NA,3.7,NA,NA,pruth_bay_2,pruth_bay_2_2015
pruth,pruth_bay,51.388,-128.071,-0.55,34982,NA,2015,NA,NA,NA,NA,33,3,11,0,NA,1.3,NA,NA,pruth_bay_3,pruth_bay_3_2015
pruth,pruth_bay,51.388,-128.071,-0.55,34982,NA,2015,NA,NA,NA,NA,34,4,17,0,NA,2.84,NA,NA,pruth_bay_4,pruth_bay_4_2015
pruth,pruth_bay,51.388,-128.071,-0.55,34982,NA,2015,NA,NA,NA,NA,35,5,15,0,NA,0,NA,NA,pruth_bay_5,pruth_bay_5_2015
pruth,pruth_bay,51.388,-128.071,-0.55,34982,NA,2015,NA,NA,NA,NA,36,6,7,0,NA,1.65,NA,NA,pruth_bay_6,pruth_bay_6_2015
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,NA,2015,NA,NA,NA,NA,19,1,15,15.04,10.1376,14.43,619.5,NA,mcmullins_north_1,mcmullins_north_1_2015
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,NA,2015,NA,NA,NA,NA,20,2,10,11.46,5.599776,10.56,436,NA,mcmullins_north_2,mcmullins_north_2_2015
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,NA,2015,NA,NA,NA,NA,21,3,9,0.133,2.8237248,12.86,356.4,NA,mcmullins_north_3,mcmullins_north_3_2015
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,NA,2015,NA,NA,NA,NA,22,4,9,0.28,3.5424,8.44,319.5,NA,mcmullins_north_4,mcmullins_north_4_2015
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,NA,2015,NA,NA,NA,NA,23,5,10,0.09,8.75136,NA,527,NA,mcmullins_north_5,mcmullins_north_5_2015
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,NA,2015,NA,NA,NA,NA,24,6,12,0,9.096192,8.7,523.2,NA,mcmullins_north_6,mcmullins_north_6_2015
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,NA,2015,NA,NA,NA,NA,13,1,12,13.05,4.39488,17.32,432,NA,mcmullins_south_1,mcmullins_south_1_2015
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,NA,2015,NA,NA,NA,NA,14,2,6,10.41,4.3363584,11.85,102.6,NA,mcmullins_south_2,mcmullins_south_2_2015
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,NA,2015,NA,NA,NA,NA,15,3,10,8.23,22.4352,15.29,447,NA,mcmullins_south_3,mcmullins_south_3_2015
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,NA,2015,NA,NA,NA,NA,16,4,8,11.27,4.32128,11.32,283.2,NA,mcmullins_south_4,mcmullins_south_4_2015
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,NA,2015,NA,NA,NA,NA,17,5,12,14.11,6.500928,17.84,445.08,NA,mcmullins_south_5,mcmullins_south_5_2015
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,NA,2015,NA,NA,NA,NA,18,6,14,1.07,25.14848,12.03,499.8,NA,mcmullins_south_6,mcmullins_south_6_2015
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2015-07-01,2015,6,31.17,13.83,NA,49,1,24,0.16,18.144,21.22,732,NA,goose_south_west_1,goose_south_west_1_2015
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2015-07-01,2015,6,31.17,13.83,NA,50,2,26,0.35,31.193344,4.39,748.8,NA,goose_south_west_2,goose_south_west_2_2015
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2015-07-01,2015,6,31.17,13.83,NA,51,3,19,0.71,12.484368,7.88,324.9,NA,goose_south_west_3,goose_south_west_3_2015
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2015-07-01,2015,6,31.17,13.83,NA,52,4,21,0,13.138272,21.02,449.4,NA,goose_south_west_4,goose_south_west_4_2015
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2015-07-01,2015,6,31.17,13.83,NA,53,5,19,0,16.9928704,17.02,408.5,NA,goose_south_west_5,goose_south_west_5_2015
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2015-07-01,2015,6,31.17,13.83,NA,54,6,7,0,6.633984,6.55,144.9,NA,goose_south_west_6,goose_south_west_6_2015
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2015-07-01,2015,6,31.46,14.81,NA,55,1,9,0,7.29216,13.51,169.2,NA,goose_south_east_1,goose_south_east_1_2015
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2015-07-01,2015,6,31.46,14.81,NA,56,2,11,0,6.68976,8.65,144.1,NA,goose_south_east_2,goose_south_east_2_2015
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2015-07-01,2015,6,31.46,14.81,NA,57,3,8,0,9.0372352,11.25,96.8,NA,goose_south_east_3,goose_south_east_3_2015
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2015-07-01,2015,6,31.46,14.81,NA,58,4,11,0,10.2888192,15.18,255.2,NA,goose_south_east_4,goose_south_east_4_2015
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2015-07-01,2015,6,31.46,14.81,NA,59,5,11,0,8.703552,14.63,39.6,NA,goose_south_east_5,goose_south_east_5_2015
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2015-07-01,2015,6,31.46,14.81,NA,60,6,11,0,7.2179712,8.26,173.8,NA,goose_south_east_6,goose_south_east_6_2015
NA,mcmullin_north,NA,NA,NA,NA,2015-06-27,2015,7,31.25,15.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,mcmullin_north_NA,mcmullin_north_NA_2015
NA,mcmullin_south,NA,NA,NA,NA,2015-06-27,2015,4,31.24,15.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,mcmullin_south_NA,mcmullin_south_NA_2015
NA,goose_north,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,25,1,5,20.84,NA,6.53,NA,NA,goose_north_1,goose_north_1_2015
NA,goose_north,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,26,2,3,3.61,NA,6.64,NA,NA,goose_north_2,goose_north_2_2015
NA,goose_north,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,27,3,7,16.433,NA,4.86,NA,NA,goose_north_3,goose_north_3_2015
NA,goose_north,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,28,4,4,14.42,NA,6.59,NA,NA,goose_north_4,goose_north_4_2015
NA,goose_north,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,29,5,6,10.37,NA,8.03,NA,NA,goose_north_5,goose_north_5_2015
NA,goose_north,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,30,6,7,31.43,NA,15.86,NA,NA,goose_north_6,goose_north_6_2015
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,108,1,4,-2.46,7.66656,5.99,97.5999999999995,NA,choked_inner_1,choked_inner_1_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,109,2,5,13.65,11.584,8.77,414.499999999999,NA,choked_inner_2,choked_inner_2_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,110,3,4,11.27,9.50016,5.15,114.8,NA,choked_inner_3,choked_inner_3_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,111,4,4,13.43,5.62176,9.47,350.8,NA,choked_inner_4,choked_inner_4_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,112,5,8,9.06,25.485312,9.17,296.799999999999,0.42,choked_inner_5,choked_inner_5_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,113,6,5,12.5,7.26912,9.12,347.5,NA,choked_inner_6,choked_inner_6_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,114,7,5,11.02,8.1408,9.81,225.500000000001,0.54,choked_inner_7,choked_inner_7_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,115,8,5,10.28,7.26912,7.83,81.5000000000009,NA,choked_inner_8,choked_inner_8_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2016-06-28,2016,4,25.9,11.8,NA,116,9,6,8.28,15.91488,9,102.599999999999,NA,choked_inner_9,choked_inner_9_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,99,1,5,3.08,3.14112,11.16,55.4999999999995,NA,choked_sandspit_1,choked_sandspit_1_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,100,2,6,2.57,6.49728,4.72,135,NA,choked_sandspit_2,choked_sandspit_2_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,101,3,7,12.53,10.64448,5.93,179.9,NA,choked_sandspit_3,choked_sandspit_3_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,102,4,8,7.34,7.421952,8.88,56.8000000000011,1.4,choked_sandspit_4,choked_sandspit_4_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,103,5,5,6.56,11.2752,5.79,65.5000000000007,NA,choked_sandspit_5,choked_sandspit_5_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,104,6,8,5.73,11.22048,9.51,375.200000000001,NA,choked_sandspit_6,choked_sandspit_6_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,105,7,6,6.64,10.32192,7.79,-52.7999999999997,5.87,choked_sandspit_7,choked_sandspit_7_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,106,8,5,5.52,6.7248,4.2,134.5,0.94,choked_sandspit_8,choked_sandspit_8_2016
choked,choked_sandspit,51.678,-128.115,1.06,354580,2016-06-28,2016,0,25.8,11.9,NA,107,9,3,3.94,3.1752,2.42,69.8999999999999,NA,choked_sandspit_9,choked_sandspit_9_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,90,5,6,0.1,6.459264,8.83,139.199999999999,0.52,choked_wolf_5,choked_wolf_5_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,91,1,6,3.69,12.5856,4.49,169.8,0.23,choked_wolf_1,choked_wolf_1_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,92,2,9,1.71,15.691968,11.67,13.5,0.62,choked_wolf_2,choked_wolf_2_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,93,7,3,0.27,2.973696,4.92,63.6000000000001,0,choked_wolf_7,choked_wolf_7_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,94,4,3,1.04,5.32656,5.72,78,0.21,choked_wolf_4,choked_wolf_4_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,95,9,6,0.36,8.441856,9.85,44.4000000000005,2.15,choked_wolf_9,choked_wolf_9_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,96,6,2,1.13,2.9376,3.69,43.8000000000002,0.11,choked_wolf_6,choked_wolf_6_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,97,3,2,2.32,2.433024,3.72,30.4000000000001,0,choked_wolf_3,choked_wolf_3_2016
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2016,NA,NA,NA,NA,98,8,7,0,9.35424,11.97,168,1.88,choked_wolf_8,choked_wolf_8_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,126,5,3,11.32,3.4272,1.74,57.8999999999999,0.42,triquet_north_5,triquet_north_5_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,127,3,3,6.63,0.239616,1.48,49.7999999999997,NA,triquet_north_3,triquet_north_3_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,128,4,4,0.42,6.8096,5.43,80.3999999999996,0.36,triquet_north_4,triquet_north_4_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,129,6,6,1.97,6.39744,4.4,124.2,0.71,triquet_north_6,triquet_north_6_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,130,7,6,0.04,5.26848,2.87,154.2,1.55,triquet_north_7,triquet_north_7_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,131,8,3,0.9,2.900352,2.83,64.5,0.1,triquet_north_8,triquet_north_8_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,132,1,3,0,3.9648,1.21,17.6999999999996,5.5,triquet_north_1,triquet_north_1_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,133,9,2,2.68,0.954368,3.48,45.2000000000003,NA,triquet_north_9,triquet_north_9_2016
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2016-07-02,2016,4,30.2,13.5,NA,134,2,3,2.09,2.546688,1.8,55.1999999999996,NA,triquet_north_2,triquet_north_2_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,135,1,11,0,9.664512,3.97,138.599999999999,0.29,triquet_south_1,triquet_south_1_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,136,2,16,0,5.31456,4.52,86.4000000000015,0.12,triquet_south_2,triquet_south_2_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,137,3,16,0,7.86432,3.52,84.7999999999993,3.34,triquet_south_3,triquet_south_3_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,138,4,18,0,4.97664,3.58,187.200000000002,0.36,triquet_south_4,triquet_south_4_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,139,5,NA,0,NA,4.93,NA,NA,triquet_south_5,triquet_south_5_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,140,6,8,0,2.740224,2.92,89.6000000000004,0.51,triquet_south_6,triquet_south_6_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,141,7,12,0,6.28992,4.25,324,0.5,triquet_south_7,triquet_south_7_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,142,8,10,0,5.16992,2.47,80,NA,triquet_south_8,triquet_south_8_2016
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2016-07-02,2016,4,30.1,13.7,NA,143,9,13,0,6.77664,4.52,223.599999999998,0.11,triquet_south_9,triquet_south_9_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,81,8,22,2.09,7.4976,5.41,99,1.54,pruth_pocket_8,pruth_pocket_8_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,82,2,27,0.77,11.7504,5.22,461.700000000004,0.47,pruth_pocket_2,pruth_pocket_2_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,83,5,26,0.23,6.6144,3.38,748.800000000005,0.15,pruth_pocket_5,pruth_pocket_5_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,84,4,22,0.24,9.360384,4.43,420.200000000003,0.86,pruth_pocket_4,pruth_pocket_4_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,85,6,36,0.35,7.907328,6.63,766.799999999998,0.3,pruth_pocket_6,pruth_pocket_6_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,86,7,25,2.06,16.18,9.88,447.499999999997,1.03,pruth_pocket_7,pruth_pocket_7_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,87,1,35,0.73,17.1696,4.56,1008.00000000001,0.51,pruth_pocket_1,pruth_pocket_1_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,88,9,9,0,6.48,2.68,162.899999999999,0.34,pruth_pocket_9,pruth_pocket_9_2016
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2016-07-06,2016,4,30.3,11.7,NA,89,3,23,0.39,7.90464,5,315.099999999996,0.57,pruth_pocket_3,pruth_pocket_3_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,144,1,19,0.48,16.223872,7.54,463.599999999997,1.12,pruth_bay_1,pruth_bay_1_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,145,2,13,0.3,7.78752,6.54,318.5,1.17,pruth_bay_2,pruth_bay_2_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,146,3,8,0,4.466688,4.44,184,0.46,pruth_bay_3,pruth_bay_3_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,147,4,7,0,6.949376,6.44,196,0.49,pruth_bay_4,pruth_bay_4_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,148,5,15,0,9.94896,7.22,455.999999999998,0.94,pruth_bay_5,pruth_bay_5_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,149,6,26,0.1,12.140544,5.32,678.600000000004,1.06,pruth_bay_6,pruth_bay_6_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,150,7,15,0,6.8736,8.9,109.499999999999,0.84,pruth_bay_7,pruth_bay_7_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,151,8,12,0,10.789632,7.11,236.400000000001,1.27,pruth_bay_8,pruth_bay_8_2016
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2016-07-08,2016,4,26.1,14.6,NA,152,9,6,0,9.698304,3.74,148.8,0.28,pruth_bay_9,pruth_bay_9_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,117,1,10,0.31,5.85216,9.48,42.9999999999995,0.66,goose_south_west_1,goose_south_west_1_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,118,6,5,0,4.89216,5.77,31.0000000000002,0.38,goose_south_west_6,goose_south_west_6_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,119,5,9,1.52,13.284864,7.78,144.900000000001,1.06,goose_south_west_5,goose_south_west_5_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,120,8,3,0,6.022656,3.52,86.3999999999999,0.32,goose_south_west_8,goose_south_west_8_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,121,4,9,0,6.64416,6.64,147.600000000001,0.29,goose_south_west_4,goose_south_west_4_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,122,2,8,0.98,5.31456,7.19,104,0.4,goose_south_west_2,goose_south_west_2_2016
