SampleID,year,region,site,meso_quadrat_id,host_type,sample_type,survey_type,ASV2,ASV4,ASV6,ASV8,ASV18,ASV28,ASV34,ASV41,ASV46,ASV49,ASV53,ASV56,ASV60,ASV61,ASV64,ASV73,ASV75,ASV80,ASV88,ASV99,ASV108,ASV110,ASV111,ASV112,ASV125,ASV127,ASV130,ASV131,ASV140,ASV147,ASV152,ASV156,ASV159,ASV160,ASV162,ASV177,ASV180,ASV193,ASV201,ASV203,ASV222,ASV229,ASV231,ASV237,ASV243,ASV245,ASV247,ASV250,ASV253,ASV254,ASV271,ASV286,ASV287,ASV300,ASV302,ASV304,ASV311,ASV320,ASV324,ASV327,ASV343,ASV357,ASV360,ASV363,ASV364,ASV365,ASV369,ASV382,ASV423,ASV426,ASV437,ASV467,ASV468,ASV480,ASV483,ASV491,ASV494,ASV518,ASV528,ASV550,ASV553,ASV562,ASV564,ASV566,ASV575,ASV581,ASV589,ASV607,ASV609,ASV616,ASV630,ASV639,ASV642,ASV645,ASV673,ASV682,ASV685,ASV689,ASV692,ASV693,ASV720,ASV725,ASV732,ASV750,ASV756,ASV760,ASV779,ASV785,ASV792,ASV794,ASV800,ASV801,ASV804,ASV840,ASV843,ASV864,ASV867,ASV869,ASV877,ASV898,ASV915,ASV923,ASV924,ASV942,ASV962,ASV965,ASV1008,ASV1039,ASV1041,ASV1046,ASV1050,ASV1075,ASV1088,ASV1107,ASV1141,ASV1144,ASV1155,ASV1162,ASV1168,ASV1192,ASV1196,ASV1219,ASV1236,ASV1263,ASV1294,ASV1344,ASV1361,ASV1373,ASV1374,ASV1381,ASV1388,ASV1393,ASV1417,ASV1419,ASV1433,ASV1439,ASV1440,ASV1443,ASV1467,ASV1489,ASV1492,ASV1501,ASV1506,ASV1513,ASV1566,ASV1570,ASV1592
SedCIA18,2018,choked,choked_inner,1,sediment,sediment,meso_quadrat,0,774,0,0,0,0,0,8,0,0,18,3,1,24,0,0,0,0,0,2,7,0,0,0,0,13,0,0,0,0,5,4,0,23,0,0,0,0,0,0,0,0,12,0,0,0,38,0,9,0,0,2,0,0,0,8,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCIC17,2017,choked,choked_inner,3,sediment,sediment,meso_quadrat,0,656,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCIC18,2018,choked,choked_inner,3,sediment,sediment,meso_quadrat,0,422,0,408,0,0,0,4,0,0,0,2,5,17,8,16,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,20,0,0,0,21,0,1,0,0,2,0,0,0,0,0,10,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCID17,2017,choked,choked_inner,4,sediment,sediment,meso_quadrat,0,521,0,0,0,0,0,84,0,0,0,0,7,0,0,179,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,5,0,0,0,5,0,10,0,0,0,4,0,1,0,0,0,0,0,0,33,0,0,0,4,1,0,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCID18,2018,choked,choked_inner,4,sediment,sediment,meso_quadrat,0,837,0,0,0,0,0,0,0,0,0,1,21,0,0,11,0,0,0,0,27,0,0,0,0,3,0,0,0,0,0,3,0,14,0,0,1,0,0,0,0,1,11,0,0,0,15,0,2,0,0,3,0,0,0,0,0,7,0,33,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCIE17,2017,choked,choked_inner,5,sediment,sediment,meso_quadrat,0,965,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCIE18,2018,choked,choked_inner,5,sediment,sediment,meso_quadrat,0,410,3,2,0,0,0,15,0,0,0,0,21,21,0,0,0,0,11,1,140,0,0,0,0,3,0,0,0,0,0,11,0,69,0,0,0,0,0,0,0,3,45,0,0,0,56,0,6,0,0,2,1,0,0,4,0,0,0,39,0,0,2,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCIF18,2018,choked,choked_inner,6,sediment,sediment,meso_quadrat,0,766,1,0,0,0,0,1,0,0,0,2,2,1,33,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,14,0,24,0,0,0,0,0,0,1,0,6,0,0,0,11,0,11,0,0,1,0,0,0,6,0,0,0,50,0,0,20,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SedCIG17,2017,choked,choked_inner,7,sediment,sediment,meso_quadrat,0,590,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,85,0,0,0,0,0,0,4,0,11,0,0,0,77,0,50,0,0,0,0,0,0,10,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSA17,2017,choked,choked_sandspit,1,sediment,sediment,meso_quadrat,0,790,0,0,0,0,0,76,0,0,0,10,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,2,0,1,0,0,0,26,0,6,0,0,0,0,0,0,41,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSB17,2017,choked,choked_sandspit,2,sediment,sediment,meso_quadrat,0,845,0,0,0,0,0,94,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSB18,2018,choked,choked_sandspit,2,sediment,sediment,meso_quadrat,0,974,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSC17,2017,choked,choked_sandspit,3,sediment,sediment,meso_quadrat,0,965,0,0,0,0,0,10,0,0,0,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSD17,2017,choked,choked_sandspit,4,sediment,sediment,meso_quadrat,0,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSD18,2018,choked,choked_sandspit,4,sediment,sediment,meso_quadrat,0,569,0,121,0,0,80,1,0,0,0,7,1,0,1,21,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,0,109,1,0,0,0,9,0,0,0,18,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedCSSF17,2017,choked,choked_sandspit,6,sediment,sediment,meso_quadrat,0,748,0,0,0,0,0,25,0,0,0,5,2,0,0,0,0,1,5,0,18,0,0,0,1,0,0,0,0,0,0,1,0,51,0,0,2,0,0,0,5,0,9,0,0,0,25,0,2,0,0,2,0,0,0,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedPBPA18,2018,pruth,pruth_pocket,1,sediment,sediment,meso_quadrat,5,101,0,0,0,0,19,121,0,0,3,156,1,37,12,1,0,0,1,0,12,0,0,0,4,0,0,0,1,0,4,20,0,281,0,54,2,0,0,3,0,1,17,0,0,0,25,11,6,2,0,2,0,0,0,0,0,17,0,0,6,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,12,7,0,0,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedPBPB17,2017,pruth,pruth_pocket,2,sediment,sediment,meso_quadrat,0,28,0,0,0,0,0,207,0,0,0,244,4,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,244,0,0,9,0,0,0,3,0,19,0,0,0,49,0,35,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,2,0,0,1,0,32,0,0,0,0,15,0,0,3,0,0,0,0,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedPBPB18,2018,pruth,pruth_pocket,2,sediment,sediment,meso_quadrat,16,247,0,0,0,0,1,21,0,0,0,192,4,64,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,275,0,8,5,0,0,0,0,2,14,0,0,0,15,0,10,0,0,0,0,0,0,0,0,8,0,0,16,4,3,0,0,0,0,0,11,0,0,0,1,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedPBPC18,2018,pruth,pruth_pocket,3,sediment,sediment,meso_quadrat,0,195,0,0,0,0,40,28,0,0,7,193,45,19,10,6,0,0,0,6,21,0,0,0,0,0,0,0,0,0,4,3,0,319,0,0,4,0,0,0,0,0,22,0,0,0,8,0,1,0,18,0,0,0,0,0,0,0,0,3,12,0,2,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SedPBPD18,2018,pruth,pruth_pocket,4,sediment,sediment,meso_quadrat,0,28,0,546,0,0,27,81,0,0,14,41,4,58,1,0,0,0,0,0,11,17,0,0,0,0,0,0,0,0,1,3,0,108,0,0,15,0,0,0,0,2,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0
SedPBPE17,2017,pruth,pruth_pocket,5,sediment,sediment,meso_quadrat,0,37,0,0,0,0,0,344,0,0,0,99,2,76,17,0,0,0,0,0,2,0,0,0,0,0,0,0,34,0,2,18,12,181,0,0,1,0,0,4,0,0,57,0,0,0,31,0,13,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,3,0,0,0,3,0,0,0,0,14,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
