Original,Original_clean,Modified,Remarks,QC flag,remove,sp,spp,Felipe_ID,Photo_check,modified flag,RDS comments,Felipe comments,Pic verification needed 
Capitella capitata,Capitella capitata,Capitellidae,,1,,,,,,,,,
Caprella,Caprella,Caprella,,,,,,1,,,when small hard to Id,,
Caprella mutica,Caprella mutica,Caprella,are we sure this is mutica? Could be Caprella kennerlyi,1,,,,,,,"probably good to change to Caprella, will check photo to verify kennerlyi",2 spines on each segment,X
Caprella californica,Caprella californica,Caprella californica,,,,,,1,,,,,
Caprella laeviuscula,Caprella laeviuscula,Caprella laeviuscula,,,,,,1,,,,more common,
Bittium eschrichtii,Bittium eschrichtii,Cerithiidae,,1,,,,,,,"Big group, hard to ID",,
Cerithiidae,Cerithiidae,Cerithiidae,,,,,,,,,,,
Colus sp,Colus,Colus,,,,1,,,,,"whelk, big group",,
Protomedeia,Protomedeia,Corophiidae,"doubtful, how common?",1,,,,,,,"Could be, common in BC, but hard to tell apart from others, might be safer to go with Corophiidae",,
Corophiidae,Corophiidae,Corophiidae,"catch-all....likely Monocorophium, but Americorophium also present",,,,,1,,,,"hard when antanae are damaged, safer to say corophiidae",
Cumacea,Cumacea,Cumacea,,,,,,1,,,common is Cumacea vallgaris,,
Decapoda,Decapoda,Decapoda,probably a small crab,1,,,,,,,,,
Enteropneusta,Enteropneusta,Enteropneusta,,,,,,,,,,hasn't seen,
Eogammarus confervicolus,Eogammarus confervicolus,Eogammarus confervicolus,Gammaropsis?,1,,,,,,,,,
Epitoniidae,Epitoniidae,Epitoniidae,,,,,,,,,,,
Ericthonius,Ericthonius,Ericthonius,,,,,,,,,,,
Ericthonius rubricornis,Ericthonius rubricornis,Ericthonius,,,,,,,,1,,,
Eulalia,Eulalia,Eulalia,,,,,,1,,,,rare,
Eusiroidea,Eusiroidea,Eusiridae,could be Pontegeneia,1,,,,,,1,"Eusiroidea is a genus, just like pontegeneia, not under pontegeneia",,X
Paramoera,Paramoera,Eusiridae,,,,,,,,,"this is another one where IT IS and Worms differ, went with IT IS",,
Gammaidean Amphipod  1mm,Gammaidean,Gammaridae,"too coarse, but this is THE level from 2015",1,,,,,,,"the gamms get banged up, too hard to ID if missing ant, corrected spelling",,
Gammaridea,Gammaidean,Gammaridae,"too coarse, but this is THE level from 2016,2017",1,,,,,,,"the gamms get banged up, too hard to ID if missing ant, corrected spelling","if damaged, just put gamm. ",
Gammaropsis,Gammaropsis,Gammaropsis,,,,,,,,,,,
Gammaropsis barnardi,Gammaropsis barnardi,Gammaropsis barnardi,,,,,,,,,,,
Gammaropsis thomsoni,Gammaropsis thompsoni,Gammaropsis thompsoni,,,,,,,,,fixed spelling,,
Gastropoda,Gastropoda,Gastropoda,very coarse resolution,1,,,,,,,Should be able to get down to family or genus?,"just one snail all the same species, very hairy",X
Neogastropoda,Neogastropoda,Gastropoda,very coarse resolution,1,,,,,,,,,
Hemipodia,Hemipodia,Glyceridae,,,,,,1,,1,,"seen this one, pretty distinct, travis's website source too",
Gymnolaemata,Gymnolaemata,Gymnolaemata,,,,,,,,,,,
Halacaridae,Halacaridae,Halacaridae,,,,,,1,,,,,
Unknown red Halacarid mite,Halacaridae,Halacaridae,,,,,,,,,,,
Haminoaea sp,Haminoea,Haminoea,,,,1,,1,,,Fixed spelling,,
Harpacticoid copepod multiple species,Harpacticoida,Harpacticoida,,,,1,,1,,,,,
Harpacticoida,Harpacticoida,Harpacticoida,,,,,,1,,,,,
Heptacarpus sp,Heptacarpus,Heptacarpus,,,,1,,,,,,,
Hesionidae,Hesionidae,Hesionidae,,,,,,,,,,,
Podarkeopsis glabrus,Podarkeopsis glabrus,Hesionidae,,1,,,,,,1,"hard to ID to species, where did this ID come from?",,
Heterophoxus,Heterophoxus,Heterophoxus,could be Lyssianasidae,1,,,,,,,,,X
Hyalellidae,Hyalellidae,Hyalellidae,,,,,,,,,,,
Hyalidae,Hyalidae,Hyalidae,,,,,,1,,,"Big eyes, family level only, protohyale is common in Salish Sea, WA, OR",Hyalidae ,
Protohyale,Protohyale,Hyalidae,,,,,,,,1,,,X
Protohyale intermedia,Protohyale intermedia,Hyalidae,,,,,,,,1,,,
Talitridae,Talitridae,Hyalidae,"unlikely, could be Hyalidae?",1,,,,,,1,,,
Isaeidae,Isaeidae,Isaeidae,,,,,,,,,,,
Ischyroceridae,Ischyroceridae,Ischyroceridae,,,,,,1,,1,,,
Ischyrocerus,Ischyrocerus,Ischyroceridae,,,,,,1,,1,,,
Ischyrocerus anguipes,Ischyrocerus anguipes,Ischyrocerus anguipes,,,,,,,,1,,,
Isopoda,Isopoda,Isopoda,,,,,,1,,,,,
Lacuna,Lacuna,Lacuna,,,,,,1,,,,,
Lacuna variegata,Lacuna variegata,Lacuna,,1,,,,,,1,"hard to get to species, saver to stick with lacuna",,
Lacuna vincta,Lacuna vincta,Lacuna,,1,,,,,,1,"hard to get to species, saver to stick with lacuna",,
Lepidepecreum sp,Lepidepecreum ,Lepidepecreum,,,,1,,,,,,,
Lepasterias hexactis,Lepasterias hexactis,Leptasterias,doubtful,1,,,,,,,"might be aequalis, will change to genus level to be safe. Fixed spelling",,
Leptochelia,Leptochelia,Leptochelia,,,,,,,,,"probably both dubia, pic to check?",,X
Leptochelia dubia,Leptochelia dubia,Leptochelia dubia,,,,,,,,1,"Most common,OK to keep at species level",,
Lirularia,Lirularia,Lirularia,,,,,,,,,"probably both lirulatat, pic to check?",,X
Lirularia lirulata,Lirularia lirulata,Lirularia lirulata,,,,,,,,,,,
Littorinidae,Littorinidae,Littorinidae,,,,,,,,,,,
Littorinimorpha,Littorinimorpha,Littorinidae,this is a huge group,1,,,,,,1,,,
Lottia alveus,Lottia alveus,Lottia alveus,,,,,,1,,,,,
Lottia alveus paralella,Lottia alveus paralella,Lottia alveus,,,,,,,,1,,,
Lottidae,Lottiidae,Lottiidae,,,,,,1,,,fixed spelling,,
Lumbrineridae,Lumbrineridae,Lumbrineridae,,,,,,,,,,"never found, bald polychate",
Urothoidae,Lysianassidae,Lysianassidae,could be a Lyssianasid,1,,,,,,1,"fixed spelling, would be good to check a photo, might be safer to keep at Gamm. ",,
Axiothella,Axiothella,Maldanidae,,,,,,1,,,,,
Margarites helicinus,Margarites helicinus,Margarites helicinus,could be confused with Lirularia,,,,,,,,,,X
Margarites pupillus,Margarites pupillus,Margarites pupillus,could be confused with Lirularia,,,,,,,,,,X
Micronereis,Micronereis,Micronereis nanaimoensis,,,,,,,,1,only one?,,
Monocorophium,Monocorophium,Monocorophium,,,,,,,,,"too hard to ID, antanae get broken..",,
Monocorophium acherusicum,Monocorophium acherusicum,Monocorophium,,,,,,,,1,"too hard to ID, antanae get broken..",,
Munnidae,Munnidae,Munnidae,,,,,,1,,,,,
Mytilidae,Mytilidae,Mytilus,,1,,,,1,,1,,,
Mytilus trossulus,Mytilus trossulus,Mytilus,,1,,,,,,1,,,
Nassarius mendicus,Nassarius mendicus,Nassarius mendicus,could be confused with Amphissa columbiana,1,,,,,,,,,X
Nematoda,Nematoda,Nematoda,,,,,,,,,,,
Nematode,Nematoda,Nematoda,,,,,,,,,,,
Pilargidae,Pilargidae,Pilargidae,could be Syllidae,,,,,,,,"Yes, like a Exogone (although shorter), or a Hesionidae for that matter, keeping it as is until I see how many, how often",,X
Nudibranchia,Nudibranchia,Nudibranchia,,,,,,,,,,,
Amphipholis pugetana,Amphipholis pugetana,Ophiuroidea,hard to ID,,,,,,,1,,,
Ophiuroidea,Ophiuroidea,Ophiuroidea,brittle star catch-all,,,,,,,,,,
Ostracoda,Ostracoda,Ostracoda,,,,,,,,,,,
Paguridae,Paguridae,Paguridae,,,,,,1,,,,,
Pagurus,Pagurus,Paguridae,,,,,,1,,,,,
Pagurus quaylei,Pagurus quaylei,Paguridae,,,,,,,,,,,
Chrysopetalidae,Chrysopetalidae,Paleanotus bellis,pretty sure just one species,,,,,,,1,"confirmed, only one species for this area, fixed spelling",,
Pectinidae,Pectinidae,Pectinidae,,,,,,,,,,,
Idotea,Idotea,Pentidotea,,,,,,,,1,I changed all idotea to pentidotea,"most common, changed name to Pentidotea",
Idotea montereynensis,Idotea montereynensis,Pentidotea,,,,,,,,1,,haven't seen this one,X
Idoteidae,Idoteidae,Pentidotea,,,,,,,,,,,
Pentidotea,Pentidotea,Pentidotea,,,,,,,,,"Same thing as idotea, change idoteas above",,
Pentidotea wosnesenskii,Pentidotea wosnesenskii,Pentidotea,how common is this?,1,,,,,,,"Felipe has found these, brown ones, common",also be careful there is another species with concave back,
Idotea resecata,Idotea resecata,Pentidotea resecata,,,,,,1,,1,,"most common, changed name to Pentidotea",
Pholoe tuberculata,Pholoe tuberculata,Pholoidae,could be Chrysopatelidae,,,,,,,,,,
Pholoidae,Pholoidae,Pholoidae,could be Chrysopatelidae,,,,,,,,,,
Photis,Photis,Photis,,,,,,,,,"probably brevipes, common",,X
Photis brevipes,Photis brevipes,Photis,,,,,,,,1,,,
Phyllaplysia taylori,Phyllaplysia taylori,Phyllaplysia taylori,,,,,,,,,,,
Hesionura coineaui difficilis,Hesionura coineaui difficilis,Phyllodocidae,,,,,,,,1,hard to ID down to species,,
Phyllodoce,Phyllodocidae,Phyllodocidae,,,,,,,,1,,,
Phyllodocida,Phyllodocidae,Phyllodocidae,,,,,,,,1,,,
Phyllodocidae,Phyllodocidae,Phyllodocidae,,,,,,,,,,,
Nereididae,Nereididae,Platynereis bicanaliculata,probably Platynerereis,1,,,,1,,,,"has a hook between para podia, easy to ID",
Nereis sp,Nereididae,Platynereis bicanaliculata,probably Platynerereis,,,1,,1,,,,"has a hook between para podia, easy to ID",
Platynereis,Platynereis,Platynereis bicanaliculata,,,,,,,,1,"just one common species, probably correct",,
Platynereis bicanaliculata,Platynereis bicanaliculata,Platynereis bicanaliculata,,,,,,,,,,,
Pleocyemata,Pleocyemata,Pleocyemata,likely a shrimp of some kind,1,,,,,,,pic?,,X
Pleustidae,Pleustidae,Pleustidae,,,,,,,,,,,
Podoceridae,Podoceridae,Podoceridae,,,,,,,,1,Genus likely Podocerus,,
Dinophilidae,Dinophilidae,Polychaeta,"doubtful, could be anything",1,,,,,,1,,hasn't seen this one,X
Polychaeta,Polychaeta,Polychaeta,very coarse resolution,1,,,,,,,"will keep in for now, easy to filter out later",,
Unk1 polychaete,Polychaeta,Polychaeta,,,,1,,,,,,,
Unk2 polychaete,Polychaeta,Polychaeta,,,,1,,,,,,,
Sthenelais,Sthenelais,Polynoidae,likely a Polynoid,1,,,,,,1,,,
Pontogeneia,Pontogeneia,Pontogeneia,,,,,,,,,,,
Pontogeneia inermis,Pontogeneia inermis,Pontogeneia,,,,,,,,1,,,
Pontogeneia intermedia,Pontogeneia intermedia,Pontogeneia,,,,,,,,1,,,
Pontogeneia rostrata,Pontogeneia rostrata,Pontogeneia,,,,,,,,1,,,
Porcellidium,Porcellidium,Porcellidium,,,,,,,,,,,
Porcellidiumÿ,Porcellidiumÿ,Porcellidium,,,,,,,,,,,
Pugettia richii,Pugettia richii,Pugettia,,,,,,,,,,,
Pugettia sp,Pugettia,Pugettia,,,,,,,,,,,
Anoplodactylus,Anoplodactylus,Pycnogonida,,,,,,1,,1,"Anoplodactylus from an old O'connor key, might need to be verified",,
Pycnogonid,Pycnogonid,Pycnogonida,,,,,,,,,,,
Pycnogonida,Pycnogonida,Pycnogonida,,,,,,,,,,,
Janua pagastecheri,Janua pagastecheri,Serpulidae,"Could be accurate, but easy to misapply",1,,,,,,1,"Couldn't find much on Janua pagastercheri, changed from subfamily to family name",,
Solariella permablis,Solariella permablis,Solariella,,,,,,,,1,,,
Solasteridae,Solasteridae,Solasteridae,,,,,,,,,,,
Cirolana harfordi,Cirolana harfordi,Sphaeromatidae,likely wrong family,1,,,,,,,"replaced with more likely family, I'll see how many of these there are",,X
Paracerceis cordata,Paracerceis cordata,Sphaeromatidae,prob not this species,1,,,,,,,"although common species here, could change to genus level",,
Stalked thing,Stalked thing,Stalked thing,could be Stauromedusa? ,1,1,,,,,1,"Stalk jelly? Will remove for now unless we find photo, how many are there?",,
Haliclystidae,Haliclystidae,Stauromedusae,,,,,,,,1,,,
Stenothoidae,Stenothoidae,Stenothoidae,,,,,,,,,,,
Strongylocentrotus sp,Strongylocentrotus,Strongylocentrotus,,,,1,,,,,,,
Exogone,Exogone,Syllidae,difficult genus,,,,,1,,,,,
Exogone sp,Exogone,Syllidae,difficult genus,,,1,,1,,,,,
Syllidae,Syllidae,Syllidae,,,,,,,,,,,
Tegula funebralis,Tegula funebralis,Tegula,"possible, but could be a different trochoid",1,,,,,,1,,,X
Terebellidae,Terebellidae,Terebellidae,,,,,,,,,,,
Thorlaksonius,Thorlaksonius,Thorlaksonius,,,,,,,,,,,
Thorlaksonius subcarinatus,Thorlaksonius subcarinatus,Thorlaksonius,,,,,,,,,,,
Nutricola sp,Nutricola,Veneridae,,,,1,,,,,,,
Veneroida,Veneroida,Veneroida,,,,,,,,,,,
eggs,eggs,,,,1,,,,,,,"egg clusters, brown",
Empty polychaete tubes,Empty polychaete tubes,,,,1,,,,,,,,
Fluff,Fluff,,,,1,,,,,,,,
foil,foil,,,,1,,,,,,,,
Foraminifera,Foraminifera,,,,1,,,,,,,,
Lacuna spp Eggs,Lacuna spp Eggs,,,,1,,,,,,,,
larvae,larvae,,,,1,,,,,,,,
microfiber,microfiber,,,,1,,,,,,,,
microplastic,microplastic,,,,1,,,,,,,,
tin foil,tin foil,,,,1,,,,,,,,
Tiny red striped snail,Tiny red striped snail,,Margarites?,1,1,,,,,,,,
Unk Fish Eggs,Unk Fish Eggs,,,,1,,,,,,,,
unknown squiggle,unknown squiggle,,,,1,,,,,,,,
