"site_quadrat_id","SampleID","year","region","site","quadrat_id","meso_shoot_id","Thiohalorhabdaceae","Microtrichaceae","Verrucomicrobiales_DEV007","Thiotrichaceae","Micavibrionales_uncultured","Cellvibrionaceae","Arenicellaceae","Bdellovibrionaceae","Chitinophagales_uncultured","Spirosomaceae","Gammaproteobacteria_KI89A_clade","Gracilibacteria_JGI_0000069-P22","Midichloriaceae","Phormidesmiaceae","Gracilibacteria_uncultured","Absconditabacteriales_(SR1)","Micavibrionaceae","Simkaniaceae","Chitinophagaceae","Rubinisphaeraceae","Trueperaceae","Schleiferiaceae","Methylophagaceae","ASV945","ASV1254","ASV470","ASV1018","ASV39","ASV1074","ASV1503","ASV108","ASV119","Methylophilaceae"
"goose_south_east_4","ZosGSEoldA",2015,"goose","goose_south_east","4","chirp",405,138,169,42,38,7,386,14,3,6,35,132,12,9,54,12,1,0,6,4,0,4,0,0,0,0,29,3,0,0,50,0,132
"goose_south_east_3","ZosGSEoldD",2015,"goose","goose_south_east","3","hiss",866,158,157,46,32,22,45,23,11,3,14,68,4,40,4,4,8,2,5,13,19,7,0,0,4,2,9,0,0,0,22,3,0
"goose_south_east_2","ZosGSEoldF",2015,"goose","goose_south_east","2","meow",357,167,72,219,60,59,56,34,19,20,67,1,4,15,26,4,8,2,16,9,24,1,3,0,1,0,9,0,0,0,5,0,9
"goose_south_east_1","ZosGSEoldE",2015,"goose","goose_south_east","1","moo",670,236,189,67,40,5,81,130,8,10,25,8,16,13,4,0,28,0,1,5,7,0,0,0,23,0,0,0,0,0,22,0,8
"goose_south_west_6","ZosGSWoldE",2015,"goose","goose_south_west","6","d",562,152,142,34,12,14,3,12,1,0,24,16,0,47,34,0,6,0,1,14,3,0,2,1,0,3,3,3,0,10,10,0,550
"goose_south_west_5","ZosGSWoldF",2015,"goose","goose_south_west","5","f",550,196,183,30,5,53,25,13,0,62,9,2,1,41,22,0,24,2,17,0,2,0,0,25,3,0,0,11,0,9,18,0,45
"goose_south_west_4","ZosGSWoldC",2015,"goose","goose_south_west","4","b",217,140,176,9,4,61,9,6,0,28,36,2,3,25,45,0,45,2,5,0,0,0,0,1,3,0,0,4,0,15,11,0,56
"goose_south_west_3","ZosGSWoldB",2015,"goose","goose_south_west","3","c",357,98,121,141,86,17,12,32,6,8,28,93,10,26,31,13,9,0,1,10,8,0,0,2,1,0,6,3,0,5,18,0,163
"goose_south_west_2","ZosGSWoldD",2015,"goose","goose_south_west","2","e",453,93,101,8,2,62,24,2,0,47,21,0,0,60,31,0,46,0,9,0,0,0,0,0,10,0,0,10,0,27,0,0,81
"goose_south_west_1","ZosGSWoldA",2015,"goose","goose_south_west","1","a",254,128,115,21,7,68,13,2,0,26,27,5,3,50,20,0,25,7,0,3,1,0,0,10,10,0,0,0,0,29,8,0,180
"mcmullins_north_6","ZosMcNoldF",2015,"mcmullins","mcmullins_north","6","b",281,213,35,68,69,2,26,2,12,53,2,35,53,8,27,12,4,98,38,0,1,0,7,3,0,0,42,0,0,0,31,2,34
"mcmullins_north_5","ZosMcNoldE",2015,"mcmullins","mcmullins_north","5","d",342,225,5,84,14,0,19,0,40,8,0,0,34,0,23,10,0,123,82,0,0,0,7,12,0,6,3,0,0,0,32,0,33
"mcmullins_north_4","ZosMcNoldD",2015,"mcmullins","mcmullins_north","4","e",246,206,14,32,16,4,6,4,48,7,0,10,33,1,19,12,14,38,47,1,2,0,7,15,1,3,9,2,5,0,37,0,15
"mcmullins_north_3","ZosMcNoldC",2015,"mcmullins","mcmullins_north","3","f",106,205,9,58,37,1,10,3,17,14,0,37,55,4,62,13,14,85,31,0,0,0,7,14,0,0,9,0,0,0,4,0,33
"mcmullins_north_2","ZosMcNoldB",2015,"mcmullins","mcmullins_north","2","c",169,221,17,85,17,0,11,11,48,16,4,3,51,8,29,22,2,119,90,2,6,0,0,18,5,3,8,0,3,0,24,3,48
"mcmullins_north_1","ZosMcNoldA",2015,"mcmullins","mcmullins_north","1","a",179,111,5,18,4,4,0,3,54,0,5,25,41,8,0,7,63,47,45,0,0,0,0,50,4,0,0,0,7,0,24,0,0
"mcmullins_south_6","ZosMcSoldF",2015,"mcmullins","mcmullins_south","6","c",295,345,62,122,4,64,19,13,16,0,14,0,31,239,1,24,0,103,29,5,8,0,0,0,6,2,0,0,0,0,48,0,31
"mcmullins_south_5","ZosMcSoldE",2015,"mcmullins","mcmullins_south","5","e",216,279,52,108,7,20,1,15,18,2,11,9,7,23,4,7,2,36,48,5,8,0,12,15,6,0,4,0,0,0,39,6,48
"mcmullins_south_4","ZosMcSoldD",2015,"mcmullins","mcmullins_south","4","f",204,306,61,87,11,37,12,21,19,13,18,15,37,34,19,17,5,47,34,7,2,3,6,1,4,4,5,0,0,0,27,6,10
"mcmullins_south_3","ZosMcSoldC",2015,"mcmullins","mcmullins_south","3","a",176,352,17,55,8,29,15,8,28,14,3,38,17,38,12,15,9,33,31,7,0,0,4,3,0,16,2,0,0,0,28,0,11
"mcmullins_south_2","ZosMcSoldB",2015,"mcmullins","mcmullins_south","2","d",350,194,78,49,5,112,22,42,14,4,12,0,5,200,6,5,14,59,42,8,4,5,0,10,12,0,0,0,0,0,24,0,17
"mcmullins_south_1","ZosMcSoldA",2015,"mcmullins","mcmullins_south","1","b",304,242,19,53,8,6,12,26,25,6,7,10,25,27,3,2,7,49,32,0,0,0,4,0,5,1,0,0,0,0,38,3,21
"triquet_north_6","ZosTQNoldA",2015,"triquet","triquet_north","6","a",340,367,23,561,3,7,4,5,2,14,32,0,23,27,0,6,2,11,6,0,0,0,0,13,0,0,0,0,0,0,6,19,0
"triquet_north_5","ZosTQNoldB",2015,"triquet","triquet_north","5","d",186,222,37,221,24,7,1,7,8,40,5,7,19,68,4,3,4,17,5,2,6,0,0,9,0,0,0,0,0,0,41,0,12
"triquet_north_4","ZosTQNoldC",2015,"triquet","triquet_north","4","c",370,348,43,266,13,11,5,8,4,5,15,1,21,11,2,8,0,11,14,5,12,2,0,26,0,0,0,1,0,0,31,3,14
"triquet_north_3","ZosTQNoldE",2015,"triquet","triquet_north","3","f",49,174,129,214,10,0,8,4,2,9,17,40,9,63,75,35,0,12,0,1,2,1,3,2,0,0,18,0,0,10,43,0,504
"triquet_north_2","ZosTQNoldD",2015,"triquet","triquet_north","2","b",428,255,23,31,13,16,0,0,8,11,3,2,13,20,0,2,0,3,15,0,0,0,0,32,0,0,0,0,0,0,40,0,23
"triquet_north_1","ZosTQNoldF",2015,"triquet","triquet_north","1","e",251,347,115,264,27,7,1,2,2,36,81,5,4,289,3,6,1,10,11,9,1,4,0,9,0,0,0,0,0,0,12,0,14
"triquet_south_6","ZosTQSoldA",2015,"triquet","triquet_south","6","e",518,240,36,11,2,112,8,38,15,4,3,0,3,7,7,0,30,275,11,0,1,0,0,39,10,0,0,0,0,17,32,0,0
"triquet_south_5","ZosTQSoldB",2015,"triquet","triquet_south","5","c",406,268,24,12,6,73,0,52,11,25,5,4,12,0,2,0,44,11,19,4,2,0,6,38,8,3,0,0,0,3,34,0,50
"triquet_south_4","ZosTQSoldC",2015,"triquet","triquet_south","4","a",829,190,26,0,7,44,7,39,13,9,7,0,39,0,0,0,5,167,14,9,0,0,0,28,10,0,0,0,0,0,14,0,0
"triquet_south_3","ZosTQSoldD",2015,"triquet","triquet_south","3","d",476,158,13,0,11,13,2,92,56,18,5,0,2,3,8,0,20,403,6,11,0,0,0,0,25,0,0,0,0,0,13,0,50
"triquet_south_2","ZosTQSoldF",2015,"triquet","triquet_south","2","f",382,136,158,29,21,6,0,84,22,20,19,0,0,0,18,0,0,29,2,1,9,0,0,0,0,1,0,22,0,0,8,4,88
"triquet_south_1","ZosTQSoldE",2015,"triquet","triquet_south","1","b",16,12,14,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2188,0,0,7,0,236,6,0,1,0,33
"choked_sandspit_7","ZosCSSoldH16",2016,"choked","choked_sandspit","7","na",81,202,197,129,44,17,21,6,0,0,0,38,0,0,90,19,0,5,9,24,0,8,0,0,0,0,11,0,0,0,0,45,0
"choked_sandspit_6","ZosCSSoldA16",2016,"choked","choked_sandspit","6","na",137,157,159,161,4,14,179,12,0,0,0,5,0,0,38,25,9,0,13,72,0,14,0,0,0,0,7,0,10,0,7,139,47
"choked_sandspit_5","ZosCSSoldB16",2016,"choked","choked_sandspit","5","na",68,333,90,157,0,45,19,34,0,0,0,0,0,0,69,0,0,0,5,14,0,20,0,0,0,0,0,0,0,26,0,32,27
"choked_sandspit_3","ZosCSSoldE16",2016,"choked","choked_sandspit","3","na",92,102,210,111,0,0,0,0,15,0,13,46,0,0,11,0,0,0,10,38,15,24,0,0,0,0,12,0,0,0,0,34,0
"choked_sandspit_1","ZosCSSoldC16",2016,"choked","choked_sandspit","1","na",24,0,109,55,5,0,268,55,19,0,0,10,0,0,38,28,0,0,0,11,5,0,0,0,0,0,23,0,0,0,32,25,80
"goose_south_east_7","ZosGSEoldH16",2016,"goose","goose_south_east","7","na",697,178,138,130,16,9,73,0,4,8,25,0,0,24,0,0,0,0,22,0,13,0,0,0,0,0,0,0,0,0,76,0,0
"goose_south_east_3","ZosGSEoldB16",2016,"goose","goose_south_east","3","na",709,82,25,29,26,0,16,18,0,0,0,11,0,58,0,0,0,0,0,0,25,0,0,6,0,0,0,0,0,0,67,0,0
"goose_south_east_2","ZosGSEoldC16",2016,"goose","goose_south_east","2","na",813,308,366,895,218,0,16,0,0,0,11,349,29,532,87,60,22,0,0,0,0,9,0,0,0,0,0,0,0,0,292,0,124
"goose_south_east_1","ZosGSEoldD16",2016,"goose","goose_south_east","1","na",214,217,34,301,42,0,13,0,0,0,20,25,0,0,0,0,0,0,0,0,13,9,0,0,0,0,6,0,0,0,155,0,0
"goose_south_west_9","ZosGSWoldH16",2016,"goose","goose_south_west","9","na",596,453,231,515,42,0,13,0,26,0,0,51,0,294,0,15,0,0,0,4,8,0,0,32,0,0,23,0,0,0,83,0,75
"goose_south_west_7","ZosGSWoldC16",2016,"goose","goose_south_west","7","na",224,551,257,71,20,0,8,5,7,10,22,0,0,222,0,0,0,0,0,19,0,5,0,0,0,0,31,0,0,0,71,0,0
"goose_south_west_5","ZosGSWoldA16",2016,"goose","goose_south_west","5","na",322,610,208,272,47,0,0,0,0,13,9,20,0,80,0,0,0,11,0,0,0,0,0,0,0,0,28,0,0,0,141,0,38
"goose_south_west_4","ZosGSWoldB16",2016,"goose","goose_south_west","4","na",218,127,46,81,57,0,0,4,0,5,0,15,0,44,0,0,0,0,8,0,0,0,0,0,0,0,35,0,0,0,95,0,0
"goose_south_west_2","ZosGSWoldG16",2016,"goose","goose_south_west","2","na",407,876,269,198,23,10,19,0,0,4,0,30,0,1020,22,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,81,0,63
"mcmullins_north_na","ZosMcNoldA16",2016,"mcmullins","mcmullins_north","na","na",276,73,0,49,0,12,0,0,11,0,0,0,13,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,30,0,26
"mcmullins_north_na","ZosMcNoldD16",2016,"mcmullins","mcmullins_north","na","na",400,196,0,86,0,35,0,0,15,15,11,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
"mcmullins_north_na","ZosMcNoldE16",2016,"mcmullins","mcmullins_north","na","na",314,162,0,23,0,0,0,18,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mcmullins_north_na","ZosMcNoldF16",2016,"mcmullins","mcmullins_north","na","na",236,84,0,9,0,15,0,26,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,32,0,29
"mcmullins_south_na","ZosMcSoldA16",2016,"mcmullins","mcmullins_south","na","na",185,77,0,0,0,0,16,0,0,0,0,0,0,67,0,0,0,8,0,0,0,0,0,0,0,79,0,0,0,0,51,0,0
"mcmullins_south_na","ZosMcSoldB16",2016,"mcmullins","mcmullins_south","na","na",490,117,58,27,14,47,0,47,0,42,19,0,38,0,53,0,0,62,66,8,0,10,0,0,0,37,0,0,0,0,24,0,190
"mcmullins_south_na","ZosMcSoldC16",2016,"mcmullins","mcmullins_south","na","na",685,298,184,122,41,145,54,53,0,49,36,0,5,14,0,0,11,129,49,17,0,0,0,9,0,22,8,0,0,17,125,10,0
"mcmullins_south_na","ZosMcSoldD16",2016,"mcmullins","mcmullins_south","na","na",255,183,96,0,190,27,0,24,0,16,28,0,0,0,0,0,20,79,0,15,0,0,107,0,25,51,0,0,0,0,93,0,1466
"mcmullins_south_na","ZosMcSoldE16",2016,"mcmullins","mcmullins_south","na","na",152,36,19,323,0,0,35,13,0,0,0,38,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,17,0,36,0,266
"mcmullins_south_na","ZosMcSoldF16",2016,"mcmullins","mcmullins_south","na","na",95,49,48,35,0,17,33,17,14,0,15,11,0,11,0,0,0,28,0,0,0,0,12,0,0,0,0,0,0,0,33,0,442
"pruth_bay_7","ZosPBSoldH16",2016,"pruth","pruth_bay","7","na",88,115,101,0,0,23,0,0,14,0,0,0,0,0,0,0,17,0,0,9,0,0,0,0,16,17,0,0,0,0,23,0,32
"pruth_bay_6","ZosPBSoldF16",2016,"pruth","pruth_bay","6","na",195,30,0,0,0,0,92,0,0,0,0,0,9,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,20,0,34,0,123
"pruth_bay_5","ZosPBSoldG16",2016,"pruth","pruth_bay","5","na",193,228,177,22,41,11,31,0,40,0,0,0,0,30,0,0,24,0,0,33,0,0,0,0,23,7,0,0,0,0,0,0,0
"pruth_bay_3","ZosPBSoldC16",2016,"pruth","pruth_bay","3","na",241,28,0,0,0,32,63,0,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,93
"pruth_bay_2","ZosPBSoldB16",2016,"pruth","pruth_bay","2","na",246,78,14,194,1245,221,994,0,60,126,0,269,46,0,0,27,129,0,0,0,0,0,0,0,0,0,0,59,0,0,354,0,2374
"pruth_bay_1","ZosPBSoldA16",2016,"pruth","pruth_bay","1","na",30,291,74,0,0,29,27,0,11,0,0,0,0,22,0,0,0,0,0,6,0,0,0,0,25,0,0,0,0,0,0,0,0
"pruth_pocket_9","ZosPBPoldC16",2016,"pruth","pruth_pocket","9","na",388,0,261,54,68,346,50,0,10,99,0,8,0,40,12,0,107,0,0,26,0,0,0,0,0,0,0,0,11,0,20,30,426
"pruth_pocket_3","ZosPBPoldD16",2016,"pruth","pruth_pocket","3","na",249,16,96,17,0,173,109,0,7,14,0,7,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,139
"pruth_pocket_2","ZosPBPoldH16",2016,"pruth","pruth_pocket","2","na",160,60,31,0,39,35,69,0,10,0,0,14,0,53,0,0,65,0,0,7,0,0,0,0,5,0,36,0,0,0,0,0,0
"pruth_pocket_1","ZosPBPoldF16",2016,"pruth","pruth_pocket","1","na",256,0,56,0,17,129,736,0,0,11,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,57
"triquet_north_9","ZosTQNoldC16",2016,"triquet","triquet_north","9","na",250,155,183,114,19,70,0,0,0,0,15,10,0,199,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,134,0,70
"triquet_north_8","ZosTQNoldB16",2016,"triquet","triquet_north","8","na",137,173,154,35,16,7,0,0,0,0,40,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,148,0,138
"triquet_north_4","ZosTQNoldF16",2016,"triquet","triquet_north","4","na",100,235,141,134,4,20,0,0,0,0,25,0,0,67,0,9,0,0,0,10,5,6,0,0,0,0,0,0,0,0,44,40,0
"triquet_north_2","ZosTQNoldA16",2016,"triquet","triquet_north","2","na",142,250,41,30,15,14,0,0,0,7,28,0,0,99,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,97,0,15
"triquet_north_1","ZosTQNoldE16",2016,"triquet","triquet_north","1","na",192,167,22,116,46,5,0,0,0,16,6,0,4,282,0,0,28,0,0,0,0,0,0,15,0,0,0,0,0,0,72,0,0
"triquet_south_9","ZosTQSoldD16",2016,"triquet","triquet_south","9","na",62,62,51,106,31,0,14,0,0,42,0,0,17,8,0,15,0,0,0,0,0,0,0,0,0,0,16,0,0,0,140,0,0
"triquet_south_8","ZosTQSoldC16",2016,"triquet","triquet_south","8","na",348,303,238,27,91,82,9,14,0,34,0,0,18,9,0,0,26,0,0,7,0,0,0,14,0,0,18,0,0,0,37,0,13
"triquet_south_6","ZosTQSoldF16",2016,"triquet","triquet_south","6","na",15,323,176,117,12,7,0,0,0,28,0,0,11,102,0,18,32,13,18,0,0,0,0,0,0,0,0,0,0,0,273,0,19
"triquet_south_5","ZosTQSoldE16",2016,"triquet","triquet_south","5","na",205,165,144,13,16,38,0,9,0,10,5,0,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,30
"triquet_south_4","ZosTQSoldB16",2016,"triquet","triquet_south","4","na",175,361,408,29,52,37,0,0,0,78,0,0,21,27,0,10,33,0,0,0,0,0,0,0,0,0,18,0,0,0,143,0,69
"triquet_south_3","ZosTQSoldH16",2016,"triquet","triquet_south","3","na",146,216,219,26,59,32,13,0,0,92,0,0,38,16,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,95,0,29
"triquet_south_2","ZosTQSoldA16",2016,"triquet","triquet_south","2","na",322,269,443,19,97,60,22,0,0,67,4,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,94,0,60
"triquet_south_1","ZosTQSoldG16",2016,"triquet","triquet_south","1","na",154,336,254,0,32,144,25,13,0,42,0,0,34,29,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,74,0,0
"choked_inner_4","ZosCIoldD17",2017,"choked","choked_inner","4","na",36,1,0,37,0,23,106,0,3,0,0,0,3,0,0,3,0,0,0,0,5,0,1841,0,0,13,0,22,3,0,0,0,248
"choked_inner_3","ZosCIoldC17",2017,"choked","choked_inner","3","na",19,59,137,19,4,0,9,0,1,2,5,0,0,0,1,0,1,1,5,7,5,16,605,0,0,0,0,1,1,0,13,5,185
"choked_inner_2","ZosCIoldB17",2017,"choked","choked_inner","2","na",6,1,4,6,0,10,7,0,0,0,0,1,1,0,0,1,0,0,1,0,4,0,2131,0,0,3,0,49,0,0,0,4,273
"choked_inner_1","ZosCIoldA17",2017,"choked","choked_inner","1","na",6,9,8,144,3,5,9,2,0,0,0,2,0,0,2,1,0,0,0,4,13,5,1246,0,0,2,0,60,0,0,0,9,308
"choked_sandspit_4","ZosCSSoldD17",2017,"choked","choked_sandspit","4","na",293,36,23,109,12,0,1,12,24,0,7,5,0,0,0,15,0,0,0,2,30,8,0,0,0,0,0,1,14,0,0,6,56
"choked_sandspit_2","ZosCSSoldB17",2017,"choked","choked_sandspit","2","na",155,59,7,124,0,0,4,0,3,0,1,0,0,0,0,0,0,0,22,1,31,2,29,0,0,0,0,13,2,0,1,12,174
"choked_sandspit_6","ZosCSSolFF17",2017,"choked","choked_sandspit","6","na",285,16,4,53,1,3,4,0,1,0,2,2,0,0,0,41,0,3,0,0,4,2,12,0,0,0,2,5,1,0,3,11,104
"choked_sandspit_1","ZosCSSoldA17",2017,"choked","choked_sandspit","1","na",181,22,7,353,12,5,14,7,17,0,3,33,1,0,0,14,0,0,3,2,22,19,1,0,0,0,0,0,14,0,0,26,43
"choked_sandspit_3","ZosCSSoldC17",2017,"choked","choked_sandspit","3","na",51,2,2,41,0,0,1,0,0,0,0,0,3,0,0,2,0,8,0,0,0,1,4,0,0,0,0,1,16,0,0,20,220
"pruth_bay_5","ZosPBSolEE17",2017,"pruth","pruth_bay","5","na",149,170,7,19,5,6,1,6,1,2,5,2,0,0,0,0,1,0,5,0,0,0,102,0,4,2,0,44,2,0,60,0,1250
"pruth_bay_7","ZosPBSoldD17",2017,"pruth","pruth_bay","7","na",305,96,3,5,1,42,3,17,0,0,4,9,0,16,0,0,3,0,0,0,0,0,98,0,1,4,0,170,0,7,10,0,633
"pruth_bay_4","ZosPBSoldC17",2017,"pruth","pruth_bay","4","na",413,155,7,25,4,19,0,23,2,15,4,5,0,2,0,0,8,0,0,0,0,0,133,4,3,53,0,115,2,0,19,5,1031
"pruth_bay_3","ZosPBSoldA17",2017,"pruth","pruth_bay","3","na",214,149,3,18,4,6,6,6,5,60,6,4,0,0,0,0,2,0,1,0,0,0,423,0,12,26,0,25,0,3,21,5,907
"pruth_bay_6","ZosPBSoldB17",2017,"pruth","pruth_bay","6","na",168,80,24,18,2,10,14,10,3,22,1,10,0,4,0,0,7,0,7,0,0,0,211,0,9,18,0,103,1,6,56,15,677
"pruth_pocket_1","ZosPBPoldA17",2017,"pruth","pruth_pocket","1","na",258,42,20,24,3,12,0,8,10,7,0,0,0,0,7,0,2,0,0,2,0,0,275,2,1,4,0,18,10,0,24,4,1229
"pruth_pocket_4","ZosPBPoldD17",2017,"pruth","pruth_pocket","4","na",63,10,1,0,1,2,0,4,2,23,0,1,3,0,0,0,2,0,0,0,0,1,348,0,0,78,0,47,15,0,28,0,1055
"pruth_pocket_5","ZosPBPolEE17",2017,"pruth","pruth_pocket","5","na",343,254,4,7,14,6,0,8,23,36,0,0,2,0,0,0,9,3,0,0,0,1,86,1,3,4,0,4,0,0,17,72,1021
"pruth_pocket_3","ZosPBPoldC17",2017,"pruth","pruth_pocket","3","na",240,114,115,22,6,0,5,10,0,17,0,10,1,3,5,2,8,0,0,0,0,0,117,2,1,0,0,56,0,0,34,0,896
"pruth_pocket_2","ZosPBPoldB17",2017,"pruth","pruth_pocket","2","na",211,118,6,0,0,15,0,9,3,26,0,2,0,0,2,17,12,0,0,0,0,8,107,5,0,13,7,11,9,0,13,9,857
"triquet_north_3","ZosTQNoldC17",2017,"triquet","triquet_north","3","na",432,320,9,183,8,8,28,8,8,0,12,34,8,5,31,15,0,113,0,0,5,8,0,0,0,9,7,0,5,1,51,0,16
"triquet_north_5","ZosTQNoldD17",2017,"triquet","triquet_north","5","na",359,188,53,79,6,88,97,19,46,5,31,8,3,0,10,26,3,231,17,2,2,19,0,11,14,12,14,0,0,39,37,6,296
"triquet_north_4","ZosTQNolEE17",2017,"triquet","triquet_north","4","na",209,249,90,171,7,83,85,26,19,56,16,6,5,4,18,24,0,99,0,0,7,30,3,13,6,43,10,5,0,52,22,5,110
"triquet_north_2","ZosTQNoldB17",2017,"triquet","triquet_north","2","na",314,357,19,189,2,36,17,22,6,3,18,23,7,6,31,9,0,71,0,2,55,25,1,5,3,6,22,0,1,15,67,7,20
"triquet_north_1","ZosTQNoldA17",2017,"triquet","triquet_north","1","na",120,442,116,105,4,0,23,17,3,32,23,7,0,0,7,15,0,127,0,5,0,9,0,0,0,13,26,0,0,6,40,0,311
"triquet_south_4","ZosTQSoldD17",2017,"triquet","triquet_south","4","na",1015,285,167,113,1,28,0,54,17,18,2,0,0,0,8,4,0,0,10,0,2,3,1,0,3,0,1,0,0,16,38,0,155
"triquet_south_3","ZosTQSoldC17",2017,"triquet","triquet_south","3","na",947,292,149,33,23,14,0,23,1,5,5,0,1,0,22,34,2,0,1,0,1,7,1,1,4,0,2,0,0,2,96,0,306
"triquet_south_1","ZosTQSoldB17",2017,"triquet","triquet_south","1","na",442,648,238,16,11,17,3,31,1,14,7,0,9,3,19,26,2,9,13,0,4,14,0,5,1,0,0,0,0,8,77,1,75
"triquet_south_2","ZosTQSoldA17",2017,"triquet","triquet_south","2","na",529,433,178,18,10,14,2,24,1,11,2,1,2,0,15,5,37,1,5,0,0,4,3,3,1,0,2,0,0,9,158,5,391
"choked_inner_6","ZosCIoldF18",2018,"choked","choked_inner","6","na",18,14,12,69,0,0,156,5,9,0,0,0,21,0,0,4,0,24,4,3,18,0,33,0,0,12,0,7,0,0,0,0,147
"choked_inner_4","ZosCIoldD18",2018,"choked","choked_inner","4","na",49,0,0,38,0,0,26,0,7,0,0,0,19,0,0,2,0,16,0,2,3,0,0,0,0,0,0,0,0,0,0,0,899
"choked_inner_3","ZosCIoldC18",2018,"choked","choked_inner","3","na",8,16,50,73,0,11,48,14,3,0,0,0,10,0,25,9,0,6,0,4,5,0,0,0,0,0,0,0,0,0,19,1,529
"choked_inner_2","ZosCIoldB18",2018,"choked","choked_inner","2","na",43,20,0,61,0,21,31,0,38,0,0,0,39,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605
"choked_inner_1","ZosCIoldA18",2018,"choked","choked_inner","1","na",12,5,4,40,0,27,57,0,0,5,3,0,1,0,0,0,0,0,0,0,4,0,5,0,0,59,0,26,0,0,0,1,447
"choked_sandspit_6","ZosCSSoldF18",2018,"choked","choked_sandspit","6","na",660,26,118,214,5,12,13,6,11,0,4,8,0,0,0,4,0,0,1,9,16,3,0,0,0,0,0,3,5,4,5,9,277
