"year","date","site","sample","size","taxon"
2014,"8/11/2014","goose south west","10",2,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",1,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",1,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",0.5,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",0.5,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","11",2,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","13",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","13",2.8,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","1",2.8,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","1",2.8,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","6",2.8,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","6",2.8,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","6",2.8,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","7",5.6,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","7",1,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","11",5.6,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",5.6,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.71,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.5,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.5,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.5,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.5,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.5,"Platynereis.bicanaliculata"
2014,"7/31/2014","goose south east","12",0.5,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",2,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",2,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",2,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",2,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",2,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",1.4,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",1.4,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",1.4,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",1,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",1,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",1,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",0.71,"Platynereis.bicanaliculata"
2014,"???","inner choked","4A",0.5,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","6",8,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","6",4,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","6",2,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","6",0.5,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","8",1.4,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","8",1.4,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","8",1.4,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","8",1,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","8",0.5,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","8",0.5,"Platynereis.bicanaliculata"
2014,"7/29/2014","inner choked","11",4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","2",2.8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",2.8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",2.8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",2.8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",2,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",2,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",1.4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",1.4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","3",0.71,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","4",4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","4",4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","4",1.4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","4",0.5,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","5",2,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","5",1,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","6",2,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","6",2,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",1,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",1,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",0.71,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",0.71,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","7",0.5,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","8",2.8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","8",2.8,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","8",1.4,"Platynereis.bicanaliculata"
2014,"7/13/2014","mcmullins south","12",5.6,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","3",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","3",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","3",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","4",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","6",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","7",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","8",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","9",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","10",5.6,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",2,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1.4,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.71,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","11",0.5,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","12",2.8,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","12",1,"Platynereis.bicanaliculata"
2014,"8/2/2014","mcmullins north","12",0.71,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","1",4,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","2",5.6,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","3",2,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","4",1,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","4",0.5,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","5",1,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","5",0.5,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","8",1.4,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","8",1.4,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","8",0.71,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","8",0.5,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","9",4,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","9",1,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","9",0.71,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","9",0.71,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","9",0.71,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","9",0.5,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","12",5.6,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","12",1,"Platynereis.bicanaliculata"
2014,"7/11/2014","triquet north","12",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",5.6,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",2.8,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","2",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",1,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",0.71,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","4",0.5,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2.8,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2.8,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2.8,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2.8,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",2,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
2014,"8/4/2014","triquet south","5",1.4,"Platynereis.bicanaliculata"
