taxon,taxon2,taxon3,taxon4,taxon5,notes,sessile,flag,remove
Thorlaksonius.subcarinatus,Thorlaksonius.subcarinatus,Pleustidae,Pleustidae,Gammaridean,,,,
Urothoidae,Urothoidae,Lysianassoidea,Urothoidae,Gammaridean,,,,1
Gastropoda,Gastropoda,Gastropoda,,Gastropoda,"very coarse, revisit this",,,1
Halacaridae,Halacaridae,Halacaridae,Halacaridae,Halacaridae,mite,,,
Unknown.red.Halacarid.mite,Halacaridae,Halacaridae,Halacaridae,Halacaridae,,,,
Haminoaea.sp.,Haminoea,Haminoea,Haminoeidae,Haminoea,,,,
Harpacticoid.copepod..multiple.species.,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,,,,
Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,,,,
Porcellidium,Porcellidium,Harpacticoida,Harpacticoida,Harpacticoida,,,,
Anthuridae,Paranthura,Paranthura,Anthuridae,Isopoda,,,,
Cirolana.harfordi,Sphaeromatidae,Sphaeromatidae,Sphaeromatidae,Isopoda,probably wrong,,1,
Idotea,Pentidotea,Idoteidae,Idoteidae,Isopoda,not clear we can tell these apart reliably,,,
Idotea.montereynensis,Pentidotea,Idoteidae,Idoteidae,Isopoda,,,,
Idotea.resecata,Pentidotea,Idoteidae,Idoteidae,Isopoda,,,,
Idoteidae,Idoteidae,Idoteidae,Idoteidae,Isopoda,,,,
Isopoda,Isopoda,Isopoda,,Isopoda,"very coarse, revisit this",,1,1
Munnidae,Munnidae,Munnidae,Munnidae,Isopoda,,,,
Paracerceis.cordata,Sphaeromatidae,Sphaeromatidae,Sphaeromatidae,Isopoda,"probably not this genus, need to revisit this. Likely to be Exosphaeroma amplicauda ",,1,
Pentidotea,Pentidotea,Idoteidae,Idoteidae,Isopoda,,,,
Pentidotea.wosnesenskii,Pentidotea.wosnesenskii,Idoteidae,Idoteidae,Isopoda,,,,
Lacuna,Lacuna,Lacuna,Littorinidae,Littorinoidea,,,,
Lacuna.variegata,Lacuna.variegata,Lacuna,Littorinidae,Littorinoidea,,,,
Lacuna.vincta,Lacuna.vincta,Lacuna,Littorinidae,Littorinoidea,,,,
Littorinidae,Littorinidae,Littorinidae,Littorinidae,Littorinoidea,this is coarse. go back to these,,1,
Littorinimorpha,Littorinidae,Littorinidae,Littorinidae,Littorinoidea,this is extremely coarse. go back to these,,1,
Lottia.alveus,Lottia.alveus,Lottia.alveus,Lottiidae,Lottioidea,fucking cool (Whalen),,,
Lottia.alveus.paralella,Lottia.alveus,Lottia.alveus,Lottiidae,Lottioidea,fucking cool (Whalen),,,
Lottidae,Lottidae,Lottia.alveus,Lottiidae,Lottioidea,,,1,
Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,,,,
Nematode,Nematoda,Nematoda,Nematoda,Nematoda,,,,
Neogastropoda,Neogastropoda,Neogastropoda,,Neogastropoda,"extremely broad, revisit",,1,1
Nudibranchia,Nudibranchia,Nudibranchia,Nudibranchia,Nudibranchia,"not many of these in samples, seems weird",,,
Amphipholis.pugetana,Amphipholis.pugetana,Ophiuroidea,Ophiuroidea,Ophiuroidea,,,,
Amphiuridae,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,brittle star catch-all,,,
Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,,,,
Ostracoda,Ostracoda,Ostracoda,Ostracoda,Ostracoda,,,,
Phyllaplysia.taylori,Phyllaplysia.taylori,Phyllaplysia.taylori,Notarchidae,Phyllaplysia.taylori,,,,
Chrysopetalidae,Paleanotus.bellis,Paleanotus.bellis,Chrysopetalidae,Phyllodocida,just one species as far as we know,,,
Eulalia,Eulalia,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Exogone,Syllidae,Syllidae,Syllidae,Phyllodocida,difficult genus,,,
Exogone.sp.,Syllidae,Syllidae,Syllidae,Phyllodocida,difficult genus,,,
Hemipodia,Glyceridae,Glyceridae,Glyceridae,Phyllodocida,,,,
Hesionidae,Hesionidae,Hesionidae,Hesionidae,Phyllodocida,,,,
Hesionura.coineaui.difficilis,Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Micronereis,Micronereis.nanaimoensis,Micronereis.nanaimoensis,Nereididae,Phyllodocida,,,,
Nereididae,Nereididae,Platynereis.bicanaliculata,Nereididae,Phyllodocida,likely Platynereis bicanaliculata,,,
Nereis.sp.,Nereididae,Platynereis.bicanaliculata,Nereididae,Phyllodocida,likely Platynereis bicanaliculata,,,
Pholoe.tuberculata,Pholoidae,Pholoidae,Pholoidae,Phyllodocida,could be Chrysopatelidae,,,
Pholoidae,Pholoidae,Pholoidae,Pholoidae,Phyllodocida,could be Chrysopatelidae,,,
Phyllodoce,Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Phyllodocida,Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Pilargidae,Pilargidae,Syllidae,Syllidae,Phyllodocida,,,,
Platynereis,Platynereis.bicanaliculata,Platynereis.bicanaliculata,Nereididae,Phyllodocida,,,,
Platynereis.bicanaliculata,Platynereis.bicanaliculata,Platynereis.bicanaliculata,Nereididae,Phyllodocida,,,,
Podarkeopsis.glabrus,Hesionidae,Hesionidae,Hesionidae,Phyllodocida,probably a different species,,,
Sthenelais,Polynoidae,Polynoidae,Polynoidae,Phyllodocida,,,,
Syllidae,Syllidae,Syllidae,Syllidae,Phyllodocida,,,,
Polychaeta,Polychaeta,Polychaeta,,Polychaeta,revisit these,,1,
Pycnogonid,Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida,,,,
Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida,,,,
Alvania.compacta,Alvania.compacta,Alvania.compacta,Rissoidae,Rissoidae,,,,
Rissoidae,Alvania.compacta,Alvania.compacta,Rissoidae,Rissoidae,revisted by Felipe and Whalen 20190725 ,,,
Janua.pagastecheri,Spirorbinae,Spirorbinae,Serpulidae,Sabellida,potentially multiple species; sessile,1,,1
Axiothella,Maldanidae,Maldanidae,Maldanidae,Scolecida,likely to be infauna,,,1
Capitella.capitata,Capitellidae,Capitellidae,Capitellidae,Scolecida,,,,
Leptochelia,Leptochelia,Leptochelia,Tanaidae,Tanaidacea,few species if more than one,,,
Leptochelia.dubia,Leptochelia.dubia,Leptochelia,Tanaidae,Tanaidacea,few species if more than one,,,
Terebellidae,Terebellidae,Terebellidae,Terebellidae,Terebellidae,,,,
Calliostoma.sp.,Calliostoma,Calliostoma,Calliostomatidae,Trochoidea,,,,
Lirularia,Lirularia,Lirularia,Trochidae,Trochoidea,,,,
Lirularia.lirulata,Lirularia.lirulata,Lirularia,Trochidae,Trochoidea,,,,
Margarites.helicinus,Margarites.helicinus,Margarites,Trochidae,Trochoidea,,,,
Margarites.pupillus,Margarites.pupillus,Margarites,Trochidae,Trochoidea,,,,
Solariella.permablis,Margarites,Trochoidea,Trochidae,Trochoidea,hmmm...only from 2014. Could be Margarites?,,1,
Tegula.funebralis,Tegula.funebralis,Trochoidea,Trochidae,Trochoidea,probably misidentified,,,
Dinophilidae,,,,,"doubtful, ignore",,,1
eggs,,,,,,,,1
Empty.polychaete.tubes,,,,,,,,1
Epitoniidae,Epitoniidae,Epitoniidae,,,doubtful,,,1
Fluff,,,,,,,,1
foil,,,,,,,,1
Foraminifera,,,,,,,,1
Lacuna.spp..Eggs,,,,,,,,1
larvae,,,,,unclear what this refers to,,,1
microfiber,,,,,,,,1
microplastic,,,,,,,,1
Stalked.thing,,,,,,,1,1
tin.foil,tin.foil,,,,,,,1
Tiny.red.striped.snail,Tiny.red.striped.snail,,,,"did not find in revisit, likely Margarites",,,1
Unk.Fish.Eggs.,,,,,,,,1
Unk1..polychaete..,Unk1..polychaete..,,,,,,1,1
Unk2..polychaete..,Unk2..polychaete..,,,,,,1,1
unknown.squiggle,,,,,,,,1
