year,site,sample,Actiniidae,Ampithoidae,Anisogammaridae,Anthuridae,Aoridae,Ascidiacea,Asteroidea,Balanidae,Buccinidae,Calliostomatidae,Cancridae,Capitellidae,Caprellidae,Cerithiidae,Chrysopetalidae,Columbellidae,Corophiidae,Cumacea,Enteropneusta,Epialtidae,Eusiridae,Gammaridean,Glyceridae,Gymnolaemata,Halacaridae,Haliclystidae,Haminoeidae,Harpacticoida,Hesionidae,Hippolytidae,Hyalellidae,Hyalidae,Idoteidae,Isaeidae,Ischyroceridae,Littorinidae,Lottiidae,Lumbrineridae,Lysianassidae,Maldanidae,Munnidae,Mytilidae,Nassariidae,Nematoda,Nereididae,Notarchidae,Nudibranchia,Ophiuroidea,Ostracoda,Paguridae,Pectinidae,Pholoidae,Photidae,Phyllodocidae,Pleustidae,Podoceridae,Polynoidae,Pontogeneiidae,Pycnogonida,Rissoidae,Serpulidae,Sphaeromatidae,Stenothoidae,Strongylocentrotidae,Syllidae,Talitridae,Tanaidae,Terebellidae,Trochidae,Urothoidae,Veneridae,<NA>
2014,goose_south_west,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,goose_south_west,6,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,16,0,1,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,3,0,13,0,1,0,2,0
2014,goose_south_west,7,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
2014,mcmullins_north,10,0,0,0,0,2,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,mcmullins_north,11,0,0,0,0,19,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,5,0,0,49,48,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0
2014,mcmullins_north,12,0,1,0,0,12,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,mcmullins_north,3,0,3,0,0,14,0,0,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,11,0,0,3,22,0,1,3,0,0,0,43,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,1,0,0,0
2014,mcmullins_north,4,0,0,0,0,14,0,0,0,0,0,0,0,888,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,35,0,0,13,197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0
2014,mcmullins_north,6,0,0,0,0,7,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,mcmullins_north,7,0,0,0,0,12,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,47,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2014,mcmullins_north,8,0,0,0,0,21,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,6,0,0,25,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0
2014,mcmullins_north,9,0,0,0,0,6,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,mcmullins_south,12,0,0,0,0,7,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2014,mcmullins_south,2,0,0,0,0,7,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2014,mcmullins_south,3,0,0,0,0,11,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,mcmullins_south,4,0,0,0,0,14,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0
2014,mcmullins_south,5,0,0,0,0,3,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0
2014,mcmullins_south,6,0,1,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,mcmullins_south,7,0,0,0,0,3,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,mcmullins_south,8,0,0,0,0,3,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2014,triquet_north,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014,triquet_north,12,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,0
2014,triquet_north,2,1,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2014,triquet_north,3,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,triquet_north,4,0,0,0,0,2,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014,triquet_north,5,0,0,0,0,3,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,2,0
2014,triquet_north,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,triquet_north,8,1,0,0,0,8,0,0,1,0,0,0,2,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,5,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2014,triquet_north,9,0,0,0,0,2,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,6,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2014,triquet_south,10,0,6,0,0,8,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,triquet_south,11,1,0,0,0,1,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,triquet_south,12,0,3,0,0,5,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,16,0,0,0,0,0,6,0,0,8,177,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
2014,triquet_south,13,0,1,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,1,0,0,0,0,0
2014,triquet_south,2,0,0,0,0,5,0,0,0,0,0,0,0,280,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,19,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0
2014,triquet_south,4,0,0,0,0,14,0,0,0,2,0,0,0,1192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,13,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,triquet_south,5,0,0,0,0,3,0,0,0,0,1,0,0,1108,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,59,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2014,triquet_south,6A,0,0,0,0,13,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2014,triquet_south,6B,0,4,0,0,24,0,0,0,0,0,0,0,1229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,45,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0
2014,triquet_south,7,0,5,0,0,25,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,82,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0
2014,triquet_south,9,0,0,0,0,17,0,0,0,0,0,0,0,471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,23,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,0,0,0
2015,choked_inner,1,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0
2015,choked_inner,2,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,5,0,0,9,0,0,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,3,0,0,0,0,75,0,4,0
2015,choked_inner,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,1308,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0
2015,choked_inner,4,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,52,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
2015,choked_inner,5,0,40,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0
2015,choked_sandspit,1,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0
2015,choked_sandspit,2,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2015,choked_sandspit,3,1,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0
