year,date,site,sample,Alvania.compacta,Amphissa.columbiana,Caprella.mutica,Cirolana.harfordi,Dinophilidae,Lepasterias.hexactis,Lirularia.lirulata,Margarites.helicinus,Margarites.pupillus,Nassarius.mendicus,Paracerceis.cordata,Protomedeia,Rissoidae,Talitridae,Tegula.funebralis,Tiny.red.striped.snail,Urothoidae,revisit,revisted_20190725
2015,27/06/2015,mcmullins south,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins south,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2016,2-Jul-16,triquet north,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2016,28-Jun-16,sandspit,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,
2016,28-Jun-16,sandspit,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1
2016,28-Jun-16,sandspit,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
2016,28-Jun-16,sandspit,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
2016,28-Jun-16,sandspit,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,,
2016,28-Jun-16,sandspit,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
2016,30-Jun-16,goose south west,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2016,6-Jul-16,pruth pocket,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,4-Jul-17,inner choked,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,4-Jul-17,inner choked,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,4-Jul-17,inner choked,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,5-Jul-17,pruth pocket,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
2017,5-Jul-17,pruth pocket,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,5-Jul-17,pruth pocket,4,216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,should be Metacaprella kennerlyi,,could not find; ignore,,looks good,,,,,,Alvania compacta,"ignore, could not find specimen",,,"ignore, could not find specimen",,
