site,sample ID,macrophyte ID,# of shoots in quadrat,foil weight,foil+ wet weight,foil+ dry weight,total dry weight,weight.#shoots,microepiphyte,macroepiphyte,drift seaweed,rooted seaweed,NOTES
mcmullins north,1,zostera,15,8.88,108.02,23.31,14.43,0.962,,0.07,14.7,0.27,added quadrat numbers for data manipulation in R
mcmullins nroth,2,zostera,10,7.98,78.58,18.54,10.56,1.056,,,11.46,,added quadrat numbers for data manipulation in R
mcmullins north,3,zostera,9,7.81,89.02,20.67,12.86,1.428888889,,0.133,,,added quadrat numbers for data manipulation in R
mcmullins north,4,zostera,9,8.02,71.48,16.46,8.44,0.937777778,,0.28,,,added quadrat numbers for data manipulation in R
mcmullins north,5,zostera,10,,,,9.2,0.92,,0.09,,,added quadrat numbers for data manipulation in R
mcmullins north,6,zostera,12,8.3,56.85,17,8.7,0.725,,,,,added quadrat numbers for data manipulation in R
goose north,1,zostera,5,7.9,75.5,14.43,6.53,1.306,,14.36,6.48,,added quadrat numbers for data manipulation in R
goose north,2,zostera,3,8.74,64.58,15.38,6.64,2.213333333,,1.75,1.86,,added quadrat numbers for data manipulation in R
goose north,3,zostera,7,7.92,54.5,12.78,4.86,0.694285714,,8.32,8.113,,added quadrat numbers for data manipulation in R
goose north,4,zostera,4,7.91,60.68,14.5,6.59,1.6475,,4.1,10.32,,added quadrat numbers for data manipulation in R
goose north,5,zostera,6,7.45,67.71,15.48,8.03,1.338333333,,2.14,8.23,,added quadrat numbers for data manipulation in R
goose north,6,zostera,7,8.17,99.07,24.03,15.86,2.265714286,,20.3,11.13,,added quadrat numbers for data manipulation in R
pruth bay south,1,zostera,11,8.1,22.74,9.99,1.89,0.171818182,1.1,0.171,1.16,,added quadrat numbers for data manipulation in R
pruth bay south,2,zostera,18,8.18,35.71,11.88,3.7,0.205555556,1.42,,4.83,,added quadrat numbers for data manipulation in R
pruth bay south,3,zostera,11,8.26,24.14,9.56,1.3,0.118181818,,,,,added quadrat numbers for data manipulation in R
pruth bay south,4,zostera,17,7.89,30.31,10.73,2.84,0.167058824,,,,,added quadrat numbers for data manipulation in R
pruth bay south,5,zostera,15,7.56,34.55,7.56,1.9,0.126666667,,,,,added quadrat numbers for data manipulation in R
pruth bay south,6,zostera,7,7.87,21.86,9.52,1.65,0.235714286,,,,,added quadrat numbers for data manipulation in R
pruth bay north,1,zostera,6,7.7,20.81,9.54,1.84,0.306666667,,0.16,2.89,,added quadrat numbers for data manipulation in R
pruth bay north,2,zostera,11,7.44,44.62,13.83,6.39,0.580909091,,0.28,5.87,,added quadrat numbers for data manipulation in R
pruth bay north,3,zostera,11,7.6,61.06,15.23,7.63,0.693636364,,0.31,1.02,,added quadrat numbers for data manipulation in R
pruth bay north,4,zostera,16,7.64,35.15,11.87,4.23,0.264375,,0.46,,,added quadrat numbers for data manipulation in R
pruth bay north,5,zostera,9,7.52,26.48,10.88,3.36,0.373333333,,0.11,5.94,,added quadrat numbers for data manipulation in R
pruth bay north,6,zostera,11,7.65,33.81,12.09,4.44,0.403636364,,0.3,5.56,,added quadrat numbers for data manipulation in R
triquet south,1,zostera,7,3.99,68.25,12.64,8.65,1.235714286,,,1.98,,added quadrat numbers for data manipulation in R
triquet south,2,zostera,4,4.69,29.01,7.97,3.28,0.82,,,4.56,,added quadrat numbers for data manipulation in R
triquet south,3,zostera,6,3.89,37.34,12.01,8.12,1.353333333,,,1.54,,added quadrat numbers for data manipulation in R
triquet south,4,zostera,7,4.82,86.03,14.47,9.65,1.378571429,,1.47,0.93,,added quadrat numbers for data manipulation in R
triquet south,5,zostera,6,7.9,34.13,11.63,3.73,0.621666667,,,1.39,,added quadrat numbers for data manipulation in R
triquet south,6,zostera,8,4.54,74.96,15.26,10.72,1.34,,1.55,2.18,,added quadrat numbers for data manipulation in R
goose west,1,zostera.and.phyllopasia,24,8.15,142.6,29.37,22.0225,0.917604167,,,0.16,,added quadrat numbers for data manipulation in R
goose west,2,zostera.and.phyllopasia,26,7.11,34.42,11.5,5.802173913,0.223160535,,,0.35,,added quadrat numbers for data manipulation in R
goose west,3,zostera.and.phyllopasia,19,8.21,50.81,16.09,8.696428571,0.457706767,,0.71,,,added quadrat numbers for data manipulation in R
goose west,4,zostera.and.phyllopasia,21,7.98,120.83,29,21.16666667,1.007936508,,,,,added quadrat numbers for data manipulation in R
goose west,5,zostera.and.phyllopasia,19,7.98,120.83,25,17.11,0.900526316,,,,,added quadrat numbers for data manipulation in R
goose west,6,zostera.and.phyllopasia,7,2.87,49.03,9.42,6.55,0.935714286,,,,,added quadrat numbers for data manipulation in R
goose east,1,zostera,9,7.81,89.31,21.32,13.51,1.501111111,,,,,added quadrat numbers for data manipulation in R
goose east,2,zostera,11,8.21,61.6,16.86,8.65,0.786363636,,,,,added quadrat numbers for data manipulation in R
goose east,3,zostera,8,7.98,78.92,19.23,11.25,1.40625,,,,,added quadrat numbers for data manipulation in R
goose east,4,zostera,11,8.01,114.47,23.19,15.18,1.38,,,,,added quadrat numbers for data manipulation in R
goose east,5,zostera,11,8.8,115.1,23.43,14.63,1.33,,,,,added quadrat numbers for data manipulation in R
goose east,6,zostera,11,8.18,63.78,16.44,8.26,0.750909091,,,,,added quadrat numbers for data manipulation in R
triquet north,1,zostera,2,7.92,26.31,11.28,3.36,1.68,,,0.26,,added quadrat numbers for data manipulation in R
triquet north,2,zostera,5,8.22,32.63,11.68,3.46,0.692,,,0.47,,added quadrat numbers for data manipulation in R
triquet north,3,zostera,5,8.04,71.66,15.24,7.2,1.44,,,4.87,,added quadrat numbers for data manipulation in R
triquet north,4,zostera,2,3.83,17.18,5.07,1.24,0.62,,,2.37,,added quadrat numbers for data manipulation in R
triquet north,5,zostera,4,3.62,29.41,6.63,3.01,0.7525,,,2.52,,added quadrat numbers for data manipulation in R
wolf inner ASU control,1,zostera,7,7.6,131.76,25.5,17.9,2.557142857,,0.8,0.68,,added quadrat numbers for data manipulation in R
wolf inner ASU control,2,zostera,5,7.67,67.03,16.48,8.81,1.762,,0.96,,,added quadrat numbers for data manipulation in R
wolf inner ASU control,3,zostera,6,7.86,98.35,21.14,13.28,2.213333333,,1.2,,,added quadrat numbers for data manipulation in R
wolf inner ASU control,4,zostera,5,7.86,100.69,22.33,14.47,2.894,,0.99,0.96,,added quadrat numbers for data manipulation in R
wolf inner ASU control,5,zostera,4,8.21,58.64,16.47,8.26,2.065,,0.44,,,added quadrat numbers for data manipulation in R
wolf inner ASU control,6,zostera,3,3.24,57.43,10.93,7.69,2.563333333,,1.01,,,added quadrat numbers for data manipulation in R
wolf edge eelgrass control,1,zostera,10,7.6,147.81,31.53,23.93,2.393,,1.45,6.3,,added quadrat numbers for data manipulation in R
wolf edge eelgrass control,2,zostera,7,8.35,129.63,25.67,17.32,2.474285714,,7.08,9.72,,added quadrat numbers for data manipulation in R
wolf edge eelgrass control,3,zostera,7,8.29,100.16,20.55,12.26,1.751428571,,4.88,5.93,,added quadrat numbers for data manipulation in R
wolf edge eelgrass control,4,zostera,12,7.9,151.56,26.98,19.08,1.59,,2.98,12.19,,added quadrat numbers for data manipulation in R
wolf edge eelgrass control,5,zostera,9,7.9,154.93,29.48,21.58,2.397777778,,6.87,7.27,,added quadrat numbers for data manipulation in R
wolf edge eelgrass control,6,zostera,8,8.2,113.37,22.35,14.15,1.76875,,4.36,9.64,,added quadrat numbers for data manipulation in R
