year,group,region,site,sample,ID,Actiniidae,Ampithoidae,Anisogammaridae,Anthuridae,Aoridae,Ascidiacea,Asteroidea,Balanidae,Buccinidae,Calliostomatidae,Cancridae,Capitellidae,Caprellidae,Cerithiidae,Chrysopetalidae,Columbellidae,Corophiidae,Enteropneusta,Epialtidae,Eusiridae,Gammaridean,Glyceridae,Halacaridae,Haliclystidae,Haminoeidae,Harpacticoida,Hesionidae,Hippolytidae,Hyalellidae,Hyalidae,Idoteidae,Isaeidae,Ischyroceridae,Littorinidae,Lottiidae,Lumbrineridae,Munnidae,Mytilidae,Nassariidae,Nematoda,Nereididae,Notarchidae,Nudibranchia,Ophiuroidea,Ostracoda,Paguridae,Pholoidae,Photidae,Phyllodocidae,Pleustidae,Podoceridae,Polynoidae,Pontogeneiidae,Pycnogonida,Rissoidae,Sphaeromatidae,Stenothoidae,Strongylocentrotidae,Syllidae,Tanaidae,Terebellidae,Trochidae,Veneridae
2014,year2014,choked,choked_sandspit,13,choked_sandspit_13,0,0,0,0,88,0,0,0,0,0,0,0,19,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,8,0,0,146,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,choked,choked_sandspit,5,choked_sandspit_5,0,0,0,0,87,0,1,0,0,0,0,0,54,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,27,0,0,117,0,0,0,2,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0
2014,year2014,choked,choked_sandspit,6A,choked_sandspit_6A,1,0,0,0,23,0,0,0,0,0,0,0,24,0,0,0,0,0,0,51,0,0,0,0,0,5,0,0,0,0,8,0,0,119,0,0,0,9,0,0,6,5,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
2014,year2014,choked,choked_sandspit,6B,choked_sandspit_6B,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,year2014,choked,choked_sandspit,7A,choked_sandspit_7A,0,2,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,year2014,choked,choked_sandspit,7B,choked_sandspit_7B,0,0,0,0,37,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0,0,0,2,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0
2014,year2014,choked,choked_sandspit,8A,choked_sandspit_8A,0,0,0,0,29,0,1,0,0,0,0,0,36,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,7,0,0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,year2014,choked,choked_sandspit,8B,choked_sandspit_8B,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,7,0,0,64,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,choked,choked_sandspit,9,choked_sandspit_9,0,1,0,0,22,0,0,0,0,0,0,0,18,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,year2014,goose,goose_south_east,1,goose_south_east_1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2014,year2014,goose,goose_south_east,10,goose_south_east_10,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2014,year2014,goose,goose_south_east,11,goose_south_east_11,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,594,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0
2014,year2014,goose,goose_south_east,12,goose_south_east_12,0,1,0,0,4,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1042,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,173,0
2014,year2014,goose,goose_south_east,4,goose_south_east_4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0
2014,year2014,goose,goose_south_east,6,goose_south_east_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,goose,goose_south_east,7,goose_south_east_7,0,0,0,0,0,0,0,0,0,0,0,1,78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,792,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,108,0
2014,year2014,goose,goose_south_east,8,goose_south_east_8,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,434,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,80,0
2014,year2014,goose,goose_south_east,9,goose_south_east_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2014,year2014,goose,goose_south_west,10,goose_south_west_10,0,0,0,0,1,0,0,0,2,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,310,0,0,0,0,0,3,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
2014,year2014,goose,goose_south_west,11,goose_south_west_11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,goose,goose_south_west,13,goose_south_west_13,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
2014,year2014,goose,goose_south_west,2,goose_south_west_2,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,year2014,goose,goose_south_west,3,goose_south_west_3,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,year2014,goose,goose_south_west,4,goose_south_west_4,0,0,0,0,2,0,0,0,2,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,15,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
2014,year2014,goose,goose_south_west,5,goose_south_west_5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,goose,goose_south_west,6,goose_south_west_6,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,13,16,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,13,0,1,0
2014,year2014,goose,goose_south_west,7,goose_south_west_7,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
2014,year2014,mcmullins,mcmullins_north,10,mcmullins_north_10,0,0,0,0,2,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,mcmullins,mcmullins_north,11,mcmullins_north_11,0,0,0,0,19,0,0,0,0,0,0,0,448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,5,0,0,49,48,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0
2014,year2014,mcmullins,mcmullins_north,12,mcmullins_north_12,0,1,0,0,12,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,mcmullins,mcmullins_north,3,mcmullins_north_3,0,3,0,0,14,0,0,0,0,0,0,0,1629,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,11,0,0,3,22,0,1,3,0,0,43,0,0,0,0,0,0,0,10,0,0,0,6,0,1,0
2014,year2014,mcmullins,mcmullins_north,4,mcmullins_north_4,0,0,0,0,14,0,0,0,0,0,0,0,888,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,35,0,0,13,197,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
2014,year2014,mcmullins,mcmullins_north,6,mcmullins_north_6,0,0,0,0,7,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,year2014,mcmullins,mcmullins_north,7,mcmullins_north_7,0,0,0,0,12,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,11,0,0,47,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2014,year2014,mcmullins,mcmullins_north,8,mcmullins_north_8,0,0,0,0,21,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,6,0,0,25,41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0
2014,year2014,mcmullins,mcmullins_north,9,mcmullins_north_9,0,0,0,0,6,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,year2014,mcmullins,mcmullins_south,12,mcmullins_south_12,0,0,0,0,7,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2014,year2014,mcmullins,mcmullins_south,2,mcmullins_south_2,0,0,0,0,7,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2014,year2014,mcmullins,mcmullins_south,3,mcmullins_south_3,0,0,0,0,11,0,0,0,0,0,0,0,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,year2014,mcmullins,mcmullins_south,4,mcmullins_south_4,0,0,0,0,14,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,10,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,2,0
2014,year2014,mcmullins,mcmullins_south,5,mcmullins_south_5,0,0,0,0,3,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0
2014,year2014,mcmullins,mcmullins_south,6,mcmullins_south_6,0,1,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,year2014,mcmullins,mcmullins_south,7,mcmullins_south_7,0,0,0,0,3,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,mcmullins,mcmullins_south,8,mcmullins_south_8,0,0,0,0,3,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2014,year2014,triquet,triquet_north,1,triquet_north_1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2014,year2014,triquet,triquet_north,12,triquet_north_12,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
2014,year2014,triquet,triquet_north,2,triquet_north_2,1,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2014,year2014,triquet,triquet_north,3,triquet_north_3,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,triquet,triquet_north,4,triquet_north_4,0,0,0,0,2,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2014,year2014,triquet,triquet_north,5,triquet_north_5,0,0,0,0,3,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0
2014,year2014,triquet,triquet_north,7,triquet_north_7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,year2014,triquet,triquet_north,8,triquet_north_8,1,0,0,0,8,0,0,1,0,0,0,2,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,5,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014,year2014,triquet,triquet_north,9,triquet_north_9,0,0,0,0,2,0,0,0,0,0,0,0,115,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,6,0,0,0,0,0,2,6,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
2014,year2014,triquet,triquet_south,10,triquet_south_10,0,6,0,0,8,0,0,0,0,0,0,0,383,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,year2014,triquet,triquet_south,11,triquet_south_11,1,0,0,0,1,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,triquet,triquet_south,12,triquet_south_12,0,3,0,0,5,0,0,0,0,0,0,0,949,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,1,0,0,16,0,0,0,6,0,0,8,177,0,0,0,0,0,3,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
2014,year2014,triquet,triquet_south,13,triquet_south_13,0,1,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,1,0,0,0
2014,year2014,triquet,triquet_south,2,triquet_south_2,0,0,0,0,5,0,0,0,0,0,0,0,280,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,19,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0
2014,year2014,triquet,triquet_south,4,triquet_south_4,0,0,0,0,14,0,0,0,2,0,0,0,1192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,13,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,year2014,triquet,triquet_south,5,triquet_south_5,0,0,0,0,3,0,0,0,0,1,0,0,1108,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,4,0,0,59,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2014,year2014,triquet,triquet_south,6A,triquet_south_6A,0,0,0,0,13,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,60,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2014,year2014,triquet,triquet_south,6B,triquet_south_6B,0,4,0,0,24,0,0,0,0,0,0,0,1229,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,45,80,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
2014,year2014,triquet,triquet_south,7,triquet_south_7,0,5,0,0,25,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,82,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0,1,0
2014,year2014,triquet,triquet_south,9,triquet_south_9,0,0,0,0,17,0,0,0,0,0,0,0,471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,23,122,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0
2015,year2015,choked,choked_inner,1,choked_inner_1,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,42,0
2015,year2015,choked,choked_inner,2,choked_inner_2,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,5,0,0,9,0,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,3,0,0,0,75,0
2015,year2015,choked,choked_inner,3,choked_inner_3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,1308,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,87,0
2015,year2015,choked,choked_inner,4,choked_inner_4,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,52,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,39,0
2015,year2015,choked,choked_inner,5,choked_inner_5,0,40,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,39,0
2015,year2015,choked,choked_sandspit,1,choked_sandspit_1,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0
2015,year2015,choked,choked_sandspit,2,choked_sandspit_2,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17,0
2015,year2015,choked,choked_sandspit,3,choked_sandspit_3,1,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,12,0
2015,year2015,choked,choked_sandspit,4,choked_sandspit_4,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,251,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,66,0
2015,year2015,choked,choked_sandspit,5,choked_sandspit_5,3,0,0,0,10,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,483,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,53,0
