site,sample ID,macrophyte ID,# of shoots in quadrat,foil weight,foil+ wet weight,foil+ dry weight,total dry weight,weight.#shoots,microepiphyte,macroepiphyte,drift seaweed,rooted seaweed
Robbers,d,zostera,9,10.15,49.32,14.74,4.59,0.51,,,,
Robbers,f,zostera,3,9.18,35.48,12.7,3.52,1.173333333,,,,
Robbers,b,zostera,6,9.21,56.32,15.5,6.29,1.048333333,,,,
Robbers,a,zostera,10,9.57,49.93,13.67,4.1,0.41,,,,
Robbers,e,zostera,8,9.17,55.21,14.34,5.17,0.64625,,,,
Sarita,c,zostera,12,8.92,20.55,18,9.08,0.756666667,,,,2.96
Sarita,d,zostera,3,8.28,29.71,11.23,2.95,0.983333333,,,,0.004
Sarita,b,zostera,6,9.19,66.51,16.65,7.46,1.243333333,,,,3.09
Sarita,f,zostera,7,9.16,37.06,13.1,3.94,0.562857143,,,,2.93
Sarita,e,zostera,3,9.18,43.08,14.17,4.99,1.663333333,,,,2.89
Sarita,a,zostera,5,9.34,45.8,14.36,5.02,1.004,,0.012,,1.08
dodger,f,zostera,3,9.377,55.69,13.92,4.543,1.514333333,,,0.59,
dodger,c,zostera,9,9.31,75.93,16.3,6.99,0.776666667,,,,
dodger,e,zostera,10,7.93,94.87,17.72,9.79,0.979,,,0.18,2.34
dodger,d,zostera,5,9.43,70.07,16.17,6.74,1.348,,,4.63,
dodger,b,zostera,6,9.29,86.97,18.81,9.52,1.586666667,,,,
dodger,a,zostera,8,9.73,100.9,18.62,8.89,1.11125,,,1.1,0.79
choked_south_pigu,2,zostera,9,6.34,139.85,22.85,16.51,1.834444444,,21.35,,
choked_south_pigu,1,zostera,5,6.27,95.26,18.65,12.38,2.476,,7.41,,
choked_south_pigu,3,zostera,4,3.52,52.74,9.24,5.72,1.43,,3.67,,
choked_south_pigu,4,zostera,7,6.92,156.12,23.86,16.94,2.42,,14.57,0.18,
choked_south_pigu,5,zostera,5,,,,17.31,3.462,,5.23,,
choked_south_pigu,6,zostera,6,,,,15.76,2.626666667,,10.54,,
mcmullins_south,b,zostera,12,7.71,126.04,25.03,17.32,1.443333333,0.04,,13.05,
mcmullins_south,d,zostera,6,2.24,78.77,14.09,11.85,1.975,,,10.41,
mcmullins north,a,zostera,10,7.71,126.04,23,15.29,1.529,,,8.23,
mcmullins_south,e,zostera,8,7.86,86.588,19.18,11.32,1.415,,,11.27,
mcmullins_south,c,zostera,12,7.64,144.79,25.48,17.84,1.486666667,,,14.11,
mcmullins_south,f,zostera,14,7.9,92.91,19.93,12.03,0.859285714,,0.07,1,
mcmullins north,a,zostera,15,8.88,108.02,23.31,14.43,0.962,,0.07,14.7,0.27
mcmullins nroth,c,zostera,10,7.98,78.58,18.54,10.56,1.056,,,11.46,
mcmullins north,f,zostera,9,7.81,89.02,20.67,12.86,1.428888889,,0.133,,
mcmullins north,e,zostera,9,8.02,71.48,16.46,8.44,0.937777778,,0.28,,
mcmullins north,d,zostera,10,,,,9.2,0.92,,0.09,,
mcmullins north,b,zostera,12,8.3,56.85,17,8.7,0.725,,,,
goose north,a,zostera,5,7.9,75.5,14.43,6.53,1.306,,14.36,6.48,
goose north,f,zostera,3,8.74,64.58,15.38,6.64,2.213333333,,1.75,1.86,
goose north,d,zostera,7,7.92,54.5,12.78,4.86,0.694285714,,8.32,8.113,
goose north,b,zostera,4,7.91,60.68,14.5,6.59,1.6475,,4.1,10.32,
goose north,c,zostera,6,7.45,67.71,15.48,8.03,1.338333333,,2.14,8.23,
goose north,e,zostera,7,8.17,99.07,24.03,15.86,2.265714286,,20.3,11.13,
pruth bay south,d,zostera,11,8.1,22.74,9.99,1.89,0.171818182,1.1,0.171,1.16,
pruth bay south,b,zostera,18,8.18,35.71,11.88,3.7,0.205555556,1.42,,4.83,
pruth bay south,e,zostera,11,8.26,24.14,9.56,1.3,0.118181818,,,,
pruth bay south,c,zostera,17,7.89,30.31,10.73,2.84,0.167058824,,,,
pruth bay south,a,zostera,15,7.56,34.55,7.56,1.9,0.126666667,,,,
pruth bay south,f,zostera,7,7.87,21.86,9.52,1.65,0.235714286,,,,
pruth bay north,b,zostera,6,7.7,20.81,9.54,1.84,0.306666667,,0.16,2.89,
pruth bay north,c,zostera,11,7.44,44.62,13.83,6.39,0.580909091,,0.28,5.87,
pruth bay north,e,zostera,11,7.6,61.06,15.23,7.63,0.693636364,,0.31,1.02,
pruth bay north,d,zostera,16,7.64,35.15,11.87,4.23,0.264375,,0.46,,
pruth bay north,f,zostera,9,7.52,26.48,10.88,3.36,0.373333333,,0.11,5.94,
pruth bay north,a,zostera,11,7.65,33.81,12.09,4.44,0.403636364,,0.3,5.56,
triquet south,c,zostera,7,3.99,68.25,12.64,8.65,1.235714286,,,1.98,
triquet south,b,zostera,4,4.69,29.01,7.97,3.28,0.82,,,4.56,
triquet south,f,zostera,6,3.89,37.34,12.01,8.12,1.353333333,,,1.54,
triquet south,a,zostera,7,4.82,86.03,14.47,9.65,1.378571429,,1.47,0.93,
triquet south,e,zostera,6,7.9,34.13,11.63,3.73,0.621666667,,,1.39,
triquet south,d,zostera,8,4.54,74.96,15.26,10.72,1.34,,1.55,2.18,
goose west,a,zostera.and.phyllopasia,24,8.15,142.6,29.37,22.0225,0.917604167,,,0.16,
goose west,b,zostera.and.phyllopasia,26,7.11,34.42,11.5,5.802173913,0.223160535,,,0.35,
goose west,d,zostera.and.phyllopasia,19,8.21,50.81,16.09,8.696428571,0.457706767,,0.71,,
goose west,e,zostera.and.phyllopasia,21,7.98,120.83,29,21.16666667,1.007936508,,,,
goose west,e,zostera.and.phyllopasia,19,7.98,120.83,25,17.11,0.900526316,,,,
goose west,f,zostera.and.phyllopasia,7,2.87,49.03,9.42,6.55,0.935714286,,,,
goose east,woof,zostera,9,7.81,89.31,21.32,13.51,1.501111111,,,,
goose east,hiss,zostera,11,8.21,61.6,16.86,8.65,0.786363636,,,,
goose east,chirp,zostera,8,7.98,78.92,19.23,11.25,1.40625,,,,
goose east,quack,zostera,11,8.01,114.47,23.19,15.18,1.38,,,,
goose east,moo,zostera,11,8.8,115.1,23.43,14.63,1.33,,,,
goose east,meow,zostera,11,8.18,63.78,16.44,8.26,0.750909091,,,,
triquet north,a,zostera,2,7.92,26.31,11.28,3.36,1.68,,,0.26,
triquet north,f,zostera,5,8.22,32.63,11.68,3.46,0.692,,,0.47,
triquet north,c,zostera,5,8.04,71.66,15.24,7.2,1.44,,,4.87,
triquet north,b,zostera,2,3.83,17.18,5.07,1.24,0.62,,,2.37,
triquet north,d,zostera,4,3.62,29.41,6.63,3.01,0.7525,,,2.52,
wolf inner ASU control,b,zostera,7,7.6,131.76,25.5,17.9,2.557142857,,0.8,0.68,
wolf inner ASU control,e,zostera,5,7.67,67.03,16.48,8.81,1.762,,0.96,,
wolf inner ASU control,c,zostera,6,7.86,98.35,21.14,13.28,2.213333333,,1.2,,
wolf inner ASU control,d,zostera,5,7.86,100.69,22.33,14.47,2.894,,0.99,0.96,
wolf inner ASU control,a,zostera,4,8.21,58.64,16.47,8.26,2.065,,0.44,,
wolf inner ASU control,f,zostera,3,3.24,57.43,10.93,7.69,2.563333333,,1.01,,
wolf edge eelgrass control,f,zostera,10,7.6,147.81,31.53,23.93,2.393,,1.45,6.3,
wolf edge eelgrass control,d,zostera,7,8.35,129.63,25.67,17.32,2.474285714,,7.08,9.72,
wolf edge eelgrass control,a,zostera,7,8.29,100.16,20.55,12.26,1.751428571,,4.88,5.93,
wolf edge eelgrass control,b,zostera,12,7.9,151.56,26.98,19.08,1.59,,2.98,12.19,
wolf edge eelgrass control,c,zostera,9,7.9,154.93,29.48,21.58,2.397777778,,6.87,7.27,
wolf edge eelgrass control,e,zostera,8,8.2,113.37,22.35,14.15,1.76875,,4.36,9.64,
